fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Attahiru,Piancastelli,M,701,740-1813,NECHE,ND,58265,M,N,5000,2.1,0,6600,0,13660
Atushi,Favre,F,920,322-2692,BUTTERNUT,WI,54514,M,***,85000,5.9232907,0,1400,400,13757
Aude,Validov,M,918,107-7058,RENTIESVILLE,OK,74459,S,N,40000,6.25,1000,0,0,13782
Avadis,Hilgefolrt,M,913,481-9601,TORONTO,SK,66777,S,N,75000,6.45,2250,0,0,14103
Avideh,Drewnowski,F,302,562-8750,MIDDLETOWN,DE,19709,M,Y,80000,5.95,0,220,110,14229
Aviezri,Womann,M,308,217-2016,STRANG,NE,68444,M,Y,90000,6.84,0,206,103,14270
Azad,Osterweil,F,505,486-5187,CLAUNCH,NM,87011,M,Y,15000,4.957143,0,6600,3300,14878
Bakul,Bies,F,252,258-3871,GREENSBORO,NC,27401,S,Y,70000,7.201049,3300,0,3300,15420
Batya,Bashkow,F,636,733-1428,COLUMBIA,MO,65217,***,Y,20000,6,2100,0,1200,16757
Berlinda,Glanzel,M,580,209-1480,PAULS VALLEY,OK,73075,M,Y,85000,6.25,0,2000,1000,17952
Berthe,Beetem,M,580,937-8329,TUSSY,K,73488,M,Y,85000,6.25,0,2000,1000,18315
Berthold,Ackley,M,706,383-5274,KENNESAW,GA,30152,M,N,40000,6,0,5400,0,18354
Betty,Shanawa,M,316,952-8210,BURR OAK,KS,66936,S,N,25000,5.4666667,2250,0,0,18667
Bhanu,Baumann,M,843,446-5978,BATESBURG,SC,29006,S,N,60000,7,3300,0,0,18845
Bhaskaram,Drach,,406,845-5348,WISE RIVER,MT,59762,S,N,35000,6.9,1900,0,0,18949
Blair,Leifker,M,205,355-9089,LESTER,AL,35647,S,Y,30000,5,1500,0,300,20134
Bob,Nepomniaschy,F,505,532-8502,ALBUQUERQUE,NM,87125,M,N,90000,5.3,0,6600,0,20236
Boban,Simec,***,857,938-1035,WELLESLEY,MA,2482,S,N,70000,5.3,3575,0,0,20265
Bodhi,Ducloy,M,502,630-2481,GLENCOE,KY,41046,S,N,80000,6,20,0,0,20342
Bostwick,Mistelberger,M,913,333-3802,HOLLENBERG,KS,66946,gS,N,15000,3.5,2250,0,0,21175
Branson,Bux,M,610,696-1678,CENTER VALLEY,PA,18034,S,N,10000,3.07,0,0,0,21903
Bud,Renegar,F,651,534-1715,SAUK CENTRE,MN,56378,M,N,90000,7.85,0,6600,0,22612
Bui,Bochicchio,M,505,484-8469,KIRTLAND AFB,NM,87117,M,N,80000,5.3,0,6600,0,22686
Burke,Meddes,F,803,526-7884,HONEA PATH,SC,29654,M,N,90000,7,0,6600,0,22760
Burkhart,Bergen,F,435,557-9737,LYMAN,UT,84749,S,N,40000,7,2475,0,0,22808
Burzin,Skogmar,M,801,629-2955,BOULDER,UT,84716,M,Y,70000,7,0,4950,2475,22852
Byoung,Barthes,F,860,611-2352,DEEP RIVER,CT,6417,S,Y,70000,5,12750,0,0,22938
Calum,Kleyle,M,918,738-5631,TULSA,OK,74107,S,N,100000,6.25,1000,0,0,23124
Camilo,Grigsby,F,563,182-4912,FERGUSON,IA,50078,S,Y,65000,8.98,40,0,40,23207
Candido,iRos,F,916,214-8602,SAN DIEGO,CA,92121,S,Y,100000,9.3,87,0,272,23341
Carmelita,Ballinger,M,406,858-2398,HAMILTON,MT,59840,M,N,70000,6.9,0,3800,0,23863
Carron,Acevedo,F,401,623-3742,WAKEFIELD,RI,2879,M,N,5000,0,0,0,0,24143
Case,Bann,M,401,803-3818,PROVIDENCE,RI,2901,S,N,5000,0,0,0,0,24319
Catharine,Gauyacq,M,417,249-9249,SAINT CHARLES,MO,63303,M,N,5000,3.75,0,4200,0,24510
Cathryne,Halverson,F,831,825-4389,SANTA ROSA,CA,95403,S,N,25000,5.410157,87,0,0,24656
Ceon,Muhling,M,479,875-9317,BLYTHEVILLE,AR,72315,S,N,100000,7,20,0,0,25058
Chakravarthy,Dahlbom,F,256,241-3473,THORSBY,AL,35171,M,N,5000,5,0,3000,0,25436
Chandrabose,Masullo,F,402,825-5007,KEARNEY,NE,68845,M,N,75000,6.84,0,206,0,25601
Chandrajit,Rummell,M,605,410-5676,TOLSTOY,SD,57475,S,Y,45000,0,0,0,0,25622
Channah,Demichelis,M,520,343-3402,MORMON LAKE,AZ,86038,S,Y,85000,4.0325,2100,0,2300,26207
Chaoying,Rando,M,314,409-1569,DUDLEY,MO,63936,M,N,20000,6,0,4200,0,26330
Charley,Dondina,M,225,242-9508,HOSSTON,LA,71043,M,N,50000,6,0,9000,0,26448
Chengwen,Altepeter,M,302,630-8735,CLAYTON,DE,19938,S,Y,70000,5.95,110,0,110,26928
Chenming,Bann,F,716,491-5682,MONSEY,NY,10952,S,Y,70000,4.359146,0,0,1000,27041
Chiaki,Tsatalos,M,918,525-2403,GOULD,OK,73544,S,Y,45000,6.25,1000,0,1000,27334
Chokchai,Suter,F,435,689-8606,WpALLSBURG,UT,84082,M,N,65000,7,0,4950,0,28161
Christiaan,Fokkink,F,847,179-8738,SHELBYVILLE,IL,62565,M,Y,30000,3,0,4000,2000,28532
Christodoulakis,Suhnel,F,907,756-4083,ALEKNAGIK,AK,99555,M,Y,35000,0,0,0,0,28681
Cis,Tzannes,M,914,686-5168,GUILDERLAND CENTER,NY,12085,M,N,20000,4.0695124,0,0,0,29458
Claudionor,Pellegrinelli,F,808,411-5781,HONOLULU,HI,96830,S,N,50000,8.25,1040,0,0,29779
Congxiao,Felciano,M,605,636-1318,PARKSTON,SD,57366,M,N,70000,0,0,0,0,30455
Constantino,Bugaenko,M,606,246-9967,SMITHLAND,KY,42081,M,Y,65000,5.4444447,0,40,20,30633
Corine,Mohrherr,M,248,366-5289,SAMARIA,MI,48177,S,N,75000,3.9,3100,0,0,30820
Corine,Plantinga,M,769,414-3678,GREENVlILLE,MS,38701,M,N,65000,5,0,12000,0,30834
Cui,Nozick,M,423,847-5739,TURTLETOWN,TN,37391,M,Y,80000,0,0,0,0,31481
Curtis,Messick,F,912,636-5997,LITHIA SPRINGS,GA,30122,M,N,5000,4.4,0,5400,0,31656
Czarek,Schmezko,M,314,582-5021,MARIONVILLE,MO,65705,M,N,90000,6,0,4200,0,31774
Daeshik,Fouet,M,623,705-5970,FOUNTAIN HILLS,AZ,85269,S,Y,85000,4.0325,2100,0,2300,31894
Dainis,Ndumu,F,612,659-3449,MADISON,MN,56256,S,Y,40000,6.3900213,3300,0,3300,32085
Dammmian,Ossenbruggen,F,309,308-2467,BERKELEY,IL,60163,S,Y,5000,3,2000,0,2000,32402
Danijela,Marsden,M,205,231-6543,MOBILE,AL,36630,M,Y,25000,5,0,3000,300,32715
Dannie,Bui,F,907,924-2655,STERLING,AK,99672,S,Y,20000,0,0,0,0,32793
Darryl,d''Argence,F,410,540-2771,FUTON,MD,20759,M,N,30000,4.75,0,4800,0,33277
Dayun,Garrard,F,769,320-5787,JACKSON,MS,39210,M,N,35000,h5.0,0,12000,0,33667
Debashish,McNeese,F,702,652-3743,NORTH LAS VEGAS,NV,89087,S,N,45000,0,0,,0,33847
Demetrios,Paradis,F,603,539-9769,LONDONDERRY,NH,3053,S,N,30000,0,0,0,0,34586
Demetrios,Ishisone,F,207,261-7934,BOOTHBAY,ME,4537,S,Y,40000,8.5,2850,0,2850,34587
Detlef,Trevillyan,F,207,837-1457,SEBAGO,ME,4029,S,Y,50000,8.5,2850,0,2850,35127
Devika,Abbadi,M,701,921-8242,EGELAND,ND,58331,M,Y,70000,2.5671675,0,6600,3300,35267
Devina,d''Alcantara,F,802,876-5446,QUECHEE,VT,5059,S,Y,45000,3.9004214,3300,0,3300,35328
Dharini,Yuzhang,F,918,958-6101,OKLAHOMA CITY,OK,73129,S,N,75000,6.25,1000,0,0,35520
Didar,Wansing,F,401,473-5235,PAWTUCKET,RI,2861,S,Y,40000,0,0,0,0,35863
Dietrich,Verlind,F,231,113-7811,SIDNEY,MI,48885,S,N,30000,3.9,3100,0,0,36047
Dihua,Leask,M,512,780-2551,POST,TX,79356,S,Y,65000,0,0,0,0,36073
Dingchao,Plummer,F,201,696-3754,TENAFLY,NJ,7670,M,Y,55000,1.9519792,0,2000,1500,36371
Dinkar,Streett,M,207,364-4369,SULLIVAN,ME,4664,M,Y,75000,8.5,0,5700,2850,36408
Dirk,MacRobert,F,828,561-2043,ROCKY MOUNT,NC,27802,S,Y,75000,7.305944,3300,0,3300,36716
Dominique,Leherte,M,901,361-5801,SWEETWATER,TN,37874,S,N,100000,0,0,0,0,37334
Donall,Kopetz,M,925,787-6606,PASADENA,CA,91105,M,Y,60000,9.3,0,174,272,37392
Donanld,Hutton,F,337,977-7678,NEW ORLEANS,LA,70177,M,N,50000,6,0,9000,0,37403
Dong,Denti,M,601,578-6276,NESBIT,MS,38651,S,N,40000,5,6000,0,0,37461
Dora,Agrafiotis,M,240,537-5413,COCKEYSVILLE,MD,21030,S,N,100000,4.75,2400,0,0,38092
Doug,Calabrese,F,469,435-5878,EL PASO,TX,88530,S,N,25000,0,0,0,0,38314
Dunren,Amlani,F,361,898-5962,ANTON,TX,79313,M,Y,60000,0,0,0,0,38833
Efstathios,Vandenbroeck,F,307,347-9102,BEDFORD,WY,83112,M,Y,60000,0,0,0,0,40220
Eiju,Blanquart,F,202,564-5452,WASHINGTON,DC,20409,S,N,15000,5.625,1370,0,0,40636
Eilon,Davisson,M,262,479-6622,CABLE,WI,54821,S,Y,60000,5.488912,700,0,400,40739
Eleanna,Cheriyan,F,787,964-6942,ANGELES,PR,611,M,Y,80000,0,0,0,0,41279
Eleanor,Rudaz,M,717,706-5921,LIBERTY,PA,16930,M,Y,75000,3.07,0,0,0,41297
Elif,Bandat,F,404,692-6521,ODUM,GA,31555,S,Y,15000,6,2700,0,3000,41634
Eliot,Gitler,M,719,630-7138,PUEBLO,CO,81011,M,N,45000,4.63,0,0,0,41705
Elmar,Zaroliagis,F,414,586-5791,BRISTOL,WI,53104,S,N,50000,5.3151608,700,0,0,42068
Elmer,Shillner,F,769,868-9598,GREENWOOD,MS,38935,M,Y,60000,5,0,12000,1500,42082
Emden,Trupe,M,240,458-2744,ANNAPOLIS,MD,21411,M,Y,70000,4.75,0,4800,2400,42528
Emeka,Whitebread,M,574,473-7258,GRASS CREEK,IN,46935,M,Y,5000,3.4,0,2000,1000,42560
Enoch,Hammerl,F,812,370-9443,NEW HARMONY,IN,47631,M,N,20000,3.4,0,2000,0,43066
Erica,Vosburgh,M,435,770-7558,MAYFIELD,UT,84643,M,N,100000,7,0,4950,0,43370
Erik,Hakonen,F,406,226-7584,DODSON,MT,59524,S,N,25000,6.9,1900,0,0,43438
Ernestine,Beim,M,402,563-2820,UNADILLA,NE,68454,S,Y,60000,6.84,103,0,103,43638
Erol,Castangia,F,763,544-6543,CYRUS,MN,56323,M,N,65000,7.724066,0,6600,0,43707
Erran,Yijun,F,617,327-9366,FALL RIVER,MA,2722,M,Y,20000,5.3,0,7150,1000,43727
Esmond,Dahlhaus,F,307,185-5826,YODER,Y,82244,S,Y,90000,0,0,0,0,44037
Eugenia,Giannotti,F,802,998-8762,ESSEX JUNCTION,VT,5453,M,Y,50000,3.9998987,0,6600,3300,44584
Evandro,Horiguchi,M,307,723-8000,ROBERTSON,WY,82944,S,N,5000,0,0,0,0,44847
Evgeny,Jenevein,M,848,324-1751,AVON BY THE SEA,NJ,7717,S,Y,80000,2.34625,1000,0,1500,45089
Fariba,Takagi,M,479,184-9846,LONDON,AR,72847,S,N,100000,7,20,0,0,46035
Feiling,Waroquier,M,651,624-4905,CEDAR,MN,55011,M,Y,55000,7.1904483,0,6600,3300,46681
Felicidad,Loborg,F,863,591-9351,GREENACRES,FL,33454,S,N,100000,0,0,0,0,46798
Felisa,Repeko,F,352,420-2814,NORTH PORT,FL,34286,M,Y,40000,0,0,0,0,46948
Ferdinand,Azevedo,F,215,889-6084,DARBY,PA,19023,M,Y,100000,3.07,0,0,0,47164
Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,0,7150,1000,47272
Fikri,Champarnaud,F,769,620-5515,POTTS CAMP,MS,38659,S,N,55000,5,6000,0,0,47504
Filip,Seguin,M,731,299-6078,SEVIERVILLE,TN,37864,M,Y,40000,0,0,0,0,47561
Filip,Daudenarde,M,801,166-9176,PARK CITY,UT,84060,***,N,80000,7,2475,0,0,47572
Florina,Ratzlaff,M,785,586-7385,WALKER,KS,67674,M,N,15000,3.5,0,4500,0,48122
Fracisco,Giacomo,F,573,488-6744,CAMDEN,MO,64017,M,N,25000,6,0,4200,0,48559
Francis,Piccoli,M,808,865-8664,HONOLULU,HI,96850,S,N,100000,8.25,1040,0,0,48770
Fredy,Hoofman,M,240,893-1560,BALTIMORE,MD,21211,M,Y,50000,4.75,0,4800,2400,49379
Freyja,Charissis,F,808,371-9429,SCHOFIELD BARRACKS,HI,96857,M,N,85000,8.25,0,2080,0,49437
Fujio,Parfitt,F,814,707-4480,SALFORDVILLE,PA,18958,S,N,100000,3.07,0,0,l0,49762
Fumiya,Pennino,F,228,706-4344,ROSE HILL,MS,39356,S,N,50000,5,6000,0,0,50067
Fumiyuki,Kelb,M,906,539-2507,KALAMAZOzO,MI,49005,S,Y,60000,3.9,3100,0,3100,50125
Fung,Farrag,F,406,982-6941,TWIN BRIDGES,MT,59754,S,N,20000,6.9,1900,0,0,50168
Gaisi,Hettesheimer,F,845,928-9473,TALLMAN,NY,10982,S,Y,35000,4.1564026,0,0,1000,50693
Garnik,Orozco,F,202,951-8402,WASHINGTON,DC,20208,S,N,95000,9,1370,0,0,51257
Gaurav,Cappelletti,M,316,346-4876,CANTON,KS,67428,S,N,75000,6.45,2250,0,0,51443
Gennoveffa,Thorensen,F,406,107-7502,WESTBY,MT,59275,S,Y,70000,0.69,1900,0,1900,52037
Geoff,Landram,F,813,356-2642,WINTER PARK,FL,32790,M,Y,30000,0,0,0,0,52152
Gerald,Kandogan,F,207,584-4611,CARMEL,ME,4419,S,N,45000,8.5,2850,0,0,52519
Geraud,Grams,F,308,674-6349,FILLEY,NE,68357,S,Y,5000,3.0217428,103,0,103,52642
Gerd,Hirschler,M,907,111-4406,METLAKATLA,AK,99926,M,N,40000,0,0,0,0,52719
Gerie,Bateman,M,754,205-8529,FOUNTAIN,FL,32438,M,N,5000,0,0,0,0,52827
Gerie,Terkki,M,706,347-2750,PRESTON,GA,31824,M,Y,50000,6,0,5400,3000,52838
Gertrud,Dhagat,M,505,735-3767,VEGUITA,NM,87062,S,Y,20000,5.3,3300,0,3300,53150
Gesine,Kuzuoka,M,484,495-6511,PHILADELPHIA,PA,19141,S,N,40000,3.07,0,0,0,53195
Ghulum,Cincotta,F,505,229-2484,GARITA,NM,88421,***,N,40000,5.3,3300,0,0,53562
Giangiacomo,Andernach,F,817,681-7662,TIMPSON,TX,75975,S,N,10000,0,0,0,0,53790
Gilbert,Cherinka,M,918,116-1859,OKLAHOMA CITY,OK,73109,M,N,5000,3.0555556,0,2000,0,54126
Gilles,Hanabata,F,971,912-5480,GERVAIS,OR,97026,S,Y,40000,9,159,0,159,54220
Giordano,Samlowski,M,205,950-6367,HOLY TRINITY,AL,36859,S,Y,15000,5,1500,0,300,54386
Gladys,Pierre,M,401,952-1315,RIVERSIDE,RI,2915,S,N,85000,0,0,0,0,54929
Goli,Musikaev,F,802,612-1155,MANCHESTER,VT,5254,S,N,0,4.5967627,3300,0,0,55435
Gopalan,Raveh,F,602,778-2976,TEMPE,AZ,85282,M,N,35000,3.2575,0,4200,0,55729
Govind,Forker,F,501,857-8370,HATFIELD,AR,71945,S,Y,95000,7,20,0,20,56047
Gray,Cowie,F,307,515-3712,DAYTON,WY,82836,M,N,65000,0,0,0,0,56280
Guangming,Tawa,M,772,479-4251,JACKSONVILLE,FL,32290,M,N,20000,0,0,0,0,56988
Guangshun,Gitlin,M,225,163-8209,ARCHIBALD,LA,71218,M,N,30000,6,0,9000,0,57018
Guilhem,Bakhtari,F,401,364-8383,LITTLE COMPTON,RI,2837,S,Y,40000,0,0,0,0,57477
Guodong,Ruffin,M,406,780-4219,BUTTE,MT,59701,M,N,15000,6.9,0,3800,q0,58007
Guorong,Duclos,F,701,683-4356,SELFRIDGE,ND,58568,M,Y,5000,2.1,0,6600,3300,8589934753
Gururaj,Peuto,M,808,380-8166,KAAAWA,HI,96730,M,N,5000,1.9407895,0,2080,0,8589935072
Guylaine,Leban,F,443,405-8876,WARWICK,MD,21912,M,Y,65000,4.75,0,4800,2400,8589935291
Gwenael,Piccinini,F,419,281-9450,PORT WASHINGTON,OH,43837,S,Y,55000,2.3717437,1300,0,1300,8589935369
Gyora,Chleq,M,262,110-9277,BRUSSELS,WI,54204,S,N,100000,6.183918,700,0,0,8589935492
Gyu,Scharf,F,702,494-2015,SPARKS,NV,89434,M,N,65000,0,0,0,0,8589935532
Hae,Nuseibeh,M,414,493-3634,WASHINGTON ISLAND,WI,54246,M,Y,60000,5.488912,0,1400,400,8589935704
Haechull,Rettelbach,M,971,547-9601,SEASIDE,OR,97138,M,N,55000,9,0,318,0,8589935736
Hagi,Andreotta,M,502,607-7865,MOUNT WASHINGTON,KY,40047,M,Y,85000,6,0,40,20,8589935879
Hagi,Bratsberg,M,308,692-8464,SPRINGVIEW,NE,68778,M,Y,65000,6.84,0,206,103,8589935881
Hajnal,Bisiani,F,509,211-6412,ISSAQUAH,WA,98027,M,N,70000,0,***,0,0,8589936464
Hakan,Zaccone,M,501,694-8761,HERMITAGE,AR,71647,M,N,55000,7,0,40,0,8589936495
Haklin,Hinterberger,F,234,584-2451,WESTERVILLE,OH,43082,S,N,45000,2.039795,1300,0,0,8589936584
Haluk,Leenaerts,F,808,118-4971,KAUNAKAKAI,HI,96748,M,Y,90000,8.25,0,2080,1040,8589936795
Hannu,Mussa,M,501,787-8665,MOUNTAIN HOME,AR,72654,S,N,40000,7,20,0,0,8589937390
Hansjurgen,Quiroz,F,808,539-9411,NINOLE,HI,96773,M,N,100000,8.25,0,2080,0,8589937542
Hao,Qizhong,F,858,459-8115,SHERMAN OAKS,CA,91413,M,Y,95000,9.3,0,174,272,8589937691
Hardeep,Sallaberry,M,414,921-2176,HITON,WI,54635,M,Y,0,5.836415,0,1400,400,8589937853
Harpal,Radecki,M,252,932-4739,BLANCH,NC,27212,M,Y,10000,6,0,6600,3300,8589938181
Heekuck,Ercolano,M,406,708-9355,WORDEN,MT,59088,S,N,60000,6.9,1900,0,0,8589939103
Hemant,Luce,F,641,276-8555,NEW ALBIN,IA,52160,M,N,55000,8.65488,0,80,0,8589939848
Hendry,Emery,M,954,487-9772,CORAL GABLES,FL,33114,S,N,60000,0.c0,0,0,0,8589939899
Heng,Gradel,M,518,744-5795,BROOKHAVEN,NY,11719,M,N,30000,4.127439,0,0,0,8589939929
Hilari,Wolfram,F,651,127-8235,LINDSTROM,MN,55045,M,N,70000,7.85,0,6600,0,8589941380
Hirohiko,Mullainathan,M,715,432-1687,APPLETON,WI,54914,S,Y,20000,4.7939067,700,0,400,8589941779
Hirohisa,Sureshchandran,M,303,838-2191,DENVER,CO,80274,M,Y,65000,4.63,0,0,0,8589941804
Hirokazu,Zingaretti,M,505,737-2942,PENA BLANCA,NM,87041,M,Y,15000,4.957143,0,6600,3300,8589941859
Hironori,Witschorik,F,202,185-4926,WASHINGTON,DC,20241,M,Y,20000,6.75,0,2740,1370,8589942074
Hiroyasu,Ural,F,336,910-9624,CLIFFSIDE,NC,28024,S,Y,10000,6,3300,0,3300,8589942349
Hirozumi,Pien,M,304,147-9089,MASON,WV,25260,M,N,5000,3,0,4000,0,8589942457
Hjalmtyr,Bogomolov,M,202,762-2867,WASHINGTON,DC,20237,S,N,10000,4.5,1370,0,0,8589942730
Hoi,Cowan,F,252,583-5385,LAUREL SPRINGS,NC,28644,S,N,50000,6.7814684,3300,0,0,8589942918
Hollyn,Aberth,M,812,140-4680,BRISTOL,IN,46507,S,Y,10000,3.4,1000,0,1000,8589943046
Holm,Gonzales,F,406,945-8313,DUPUYER,MT,59432,S,N,85000,6.9,1900,0,0,8589943070
Hongchi,Bogliolo,F,907,123-8188,TYONEK,AK,99682,S,Y,80000,0,0,0,0,8589943242
Hormozdyar,Jurik,M,231,705-3293,FULTON,MI,49052,S,Y,95000,3.9,3100,0,3100,8589943856
Hsiangchu,Ackermann,M,580,518-7048,BURNS FLAT,OK,73624,S,Y,80000,6.25,1000,0,1000,8589944370
Hungse,Masand,M,757,405-5064,HAMPTON,VA,23681,S,Y,40000,5.75,900,0,900,8589945119
HweeBong,Hasselbring,F,302,865-9421,MILLSBORO,DE,19966,S,***,15000,2.8818183,110,0,0,8589945531
Hyunok,Thomasset,M,319,947-1055,MARTELLE,IA,52305,M,N,85000,8.98,0,80,0,8589945978
Iakovos,Neimat,F,406,269-5674,JOLIET,MT,59041,S,N,50000,6.9,1900,0,0,8589946060
Ian,Nalumasu,M,952,628-2221,LE SUEUR,MN,56058,S,Y,75000,7.85,3300,0,3300,8589946083
Ingbert,Schapiro,M,208,859-4059,MOSCOW,ID,83844,M,N,30000,7.8,0,6600,0,8589947564
Iordana,Davisson,M,304,139-9071,HUNTINGTON,WV,25706,S,N,70000,6.5,2000,0,0,8589947958
Ivailo,Belcastro,F,912,782-3745,CHULA,GA,31733,S,Y,90000,6,2700,0,3000,8589949134
Ivelin,Schuchardt,F,307,436-8465,MOORCROFT,WY,82721,S,Y,10000,0,0,0,0,8589949209
Iyer,Shepherd,F,214,795-9535,MINERAL WELLS,TX,76068,S,Y,35000,0,0,0,0,8589949461
Izidor,Hmeidi,M,605,538-7470,SIOUX FALLS,SD,57193,S,Y,5000,0,0,0,0,8589949525
Izidor,Graefe,M,318,713-7793,SHREVEPORT,LA,71148,S,Y,30000,6,4500,0,1000,8589949530
Jacek,Penniman,,801,748-5849,BOUNTIFUL,UT,84010,S,Y,5000,7,2475,0,2475,8589949758
Jacob,Flich,F,404,263-4509,STATHAM,GA,30666,M,N,85000,6,0,5400,0,8589949906
Jaime,Poursepanj,F,402,102-3389,WILSONVILLE,NE,69046,S,Y,45000,6.84,103,0,103,8589950675
Janina,Lorys,M,302,532-8319,BETHANY BEACH,DE,19930,M,Y,15000,2.8818183,0,220,110,8589951451
Jarmo,Hooman,F,301,681-1179,WESTMINSTER,MD,21157,M,N,55000,4.75,0,4800,0,8589951804
Jaroslav,Rodier,M,215,750-2993,PHILADELPHIA,PA,19142,M,N,50000,3.07,0,0,0,8589951881
Jaroslaw,Luke,M,843,283-3999,LOCKHART,SC,29364,S,N,30000,7,3300,0,0,8589951926
Jasmina,Zongker,M,580,229-5690,EDMOND,OK,73003,M,N,90000,6.25,0,2000,0,8589951989
Jawad,Courtenage,M,443,768-1640,UPPER MARLBORO,MD,20775,S,Y,10000,4.75,2400,0,2400,8589952240
Jeannie,Rehg,M,615,839-9610,BURNS,TN,37029,M,N,30000,0,0,0,0,8589952897
Jef,Kohda,F,615,731-4019,INDIAN MOUND,TN,37079,S,Y,5000,0,0,0,0,8589952974
Jeffrey,Board,M,985,699-1917,TULLOS,LA,71479,M,Y,100000,6r.0,0,9000,1000,8589953040
Jeno,Lumbreras,F,719,949-2959,COLORADO SPRINGS,CO,80919,M,Y,75000,4.63,0,0,0,8589953299
Jernej,Dams,M,845,892-4905,PLEASANTVILLE,NY,10570,M,N,50000,4.243293,0,0,0,8589953626
Jerold,Rollins,F,947,181-7749,MARENISCO,MI,49947,S,N,80000,3.9,3100,0,0,8589953675
Jerome,Littlehales,M,260,575-1867,CELESTINE,IN,47521,S,Y,90000,3.4,1000,0,1000,8589953691
