fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
Badri,Kochetov,M,772,444-2519,PENSACOLA,FL,32508,M,N,90000,0,0,0,0,15128
Baher,Lavin,F,920,302-1036,ROSENDALE,WI,54974,S,Y,15000,4.707031,700,0,400,15226
Baik,Gwinn,F,808,601-5190,HONOLULU,HI,96847,S,N,80000,8.25,1040,0,0,15306
Bakul,Weishar,F,503,717-8245,PORTLAND,OR,97283,S,Y,45000,9,159,0,159,15422
Balaram,Ausiello,F,939,884-3265,PONCE,PR,716,S,N,60000,0,0,0,0,15542
Banchong,Federico,M,603,399-4393,ALTON BAY,sNH,3810,S,Y,65000,0,0,0,0,15711
Barbara,Bouquet,F,386,298-9723,QUINCY,FL,32353,M,Y,45000,0,0,0,0,16001
Barbel,Albarhamtoshy,F,206,554-4194,ROSBURG,WA,98643,S,Y,5000,0,0,0,0,16051
Becky,Stamatiou,M,318,332-2546,WESTWEGO,LA,70096,M,N,20000,4.4,0,9000,u0,16884
Behnam,Tomassini,F,308,522-1614,SHICKLEY,NE,68436,M,N,5000,3.0217428,0,206,0,17062
Belinda,Layne,F,208,315-9743,CAMBRIDGE,ID,83610,M,N,15000,5.529042,0,6600,0,17298
Bernando,Blodorn,M,320,752-2095,HOLLANDALE,MN,56045,S,Y,80000,7.85,3300,0,3300,18046
Bernold,Gadbois,M,251,519-8783,WING,AL,36483,M,N,20000,5,0,3000,0,18203
Bert,Meinke,F,918,771-6858,ALLEN,OK,74825,M,Y,25000,6.25,0,2000,1000,18278
Billie,Perly,M,302,914-5921,WILMINGTON,DE,19806,S,Y,20000,3.2227273,110,0,110,19439
Bina,Rosenbohm,F,540,670-5686,RADFORD,VA,24142,S,N,70000,5.75,900,0,0,19524
Bodh,Pinkerton,F,615,975-5335,LEOMA,TN,38468,S,Y,35000,0,0,0,0,20317
Bodonirina,Kajihara,F,775,239-5454,MANHATTAN,NV,89022,M,Y,55000,0,0,0,0,20393
Bojan,Lowen,F,787,517-5249,TfOA ALTA,PR,953,M,Y,50000,0,0,0,0,20540
Bommadevara,Spray,F,208,849-4833,COEUR D ALENE,ID,83814,S,Y,75000,7.8,3300,0,3300,20641
Bongki,Adachi,M,973,542-6776,FORT DIX,NJ,8640,M,Y,20000,1.4,0,2000,1500,20782
Bonnie,Fleet,M,808,871-9058,HONOLULU,HI,96843,S,Y,10000,2.8421054,1040,0,1040,20825
Borivoj,While,F,337,616-6316,HACKBERRY,LA,70645,S,N,10000,2,4500,0,0,21022
Borko,Pejhan,M,608,116-3057,CECIL,WI,54111,S,Y,70000,5.6626635,700,0,400,21083
Bosheng,Eastman,M,406,3055230,RAYNESFORD,MT,59469,S,N,60000,6.9,1900,0,0,21135
Britton,Okumoto,M,318,653-3937,BATON ROUGE,gLA,70803,M,Y,30000,6,0,9000,1000,22414
Brock,Fanti,F,540,753-8520,RICE,VA,23966,M,Y,y60000,5.75,0,1800,900,22429
Brook,DiPippo,M,939,339-3581,SAN JUAN,PR,939,S,N,90000,0,0,0,0,22481
Brynjulf,Feelye,F,567,153-2674,SUMMERFIELD,OH,43788,M,Y,65000,2.7036924,0,2600,1300,22580
Candace,Tari,F,865,139-9930,WHITE BLUFF,TN,37187,M,N,35000,0,0,0,0,23280
Candida,Cheriyan,M,830,544-6164,HOUSTON,TX,77056,S,N,75000,0,0,0,0,23315
Capers,Rappoport,M,515,318-2593,EARLY,IA,50535,M,N,40000,6.339211,0,80,0,23467
Carisa,Goot,M,307,201-4871,FAIRVIEW,WY,83119,S,N,40000,0,0,0,0,23632
Carl,Sulack,M,208,827-2002,BOVILL,ID,83806,S,Y,20000,6.948391,3300,0,3300,23638
Carrie,Ustimenko,F,267,972-6548,WARMINSTER,PA,18974,S,Y,25000,3.07,0,0,0,24109
Carrsten,Velthausz,F,334,919-3460,BESSEMER,AL,35022,S,N,65000,5,1500,0,0,24165
Carson,Pepe,F,303,855-5193,GRAND JUNCTION,CO,81502,M,Y,15000,4.63,0,0,0,24179
Carter,Gustafsson,M,907,937-4134,CLEAR,AK,99704,S,Y,60000,0,0,0,0,24231
Cenk,Kaelbling,F,206,554-7409,SALKUM,WA,98582,S,N,35000,0,0,0,0,25055
Cesur,Nepomniaschy,F,270,203-6664,MIDWAY,KY,40347,M,N,45000,4.333333,0,40,0,25148
Cetin,Ianov,M,740,905-2662,CANTON,OH,44708,M,Y,5000,0.712,0,2600,1300,25172
Chabane,Lovasz,M,803,988-6288,GREER,SC,29651,M,Y,60000,7,0,6600,3300,25247
Chaiyaporn,Tumuluri,M,401,712-2507,PROVIDENCE,RI,2902,M,N,30000,0,0,0,0,25427
Chandramohan,Mozdzynski,M,320,658-9799,GREY EAGLE,MN,56336,M,,15000,5.35,0,6600,0,25683
Chandrashekar,Jiafu,M,808,980-7071,HONOLULU,HI,96846,M,Y,95000,8.25,0,2080,1040,25788
Changwook,Deugo,F,203,251-2276,STAMFORD,CT,6913,M,N,45000,5,0,24500,0,26151
Chaomei,Miliotis,F,775,777-4540,LAS VEGAS,NV,89142,S,Y,80000,0,0,0,0,26275
Chenghui,Marakakis,F,775,581-4267,INDIAN SPRINGS,NV,89018,S,N,90000,0,0,0,0,26830
Chengjie,Goan,F,276,365-3088,GLADE SPRING,VA,24340,M,N,85000,5.75,0,1800,0,26901
Chengwen,Kruyt,M,623,431-1306,PHOENIX,AZ,85062,M,Y,40000,3.335,0,4200,2300,26934
ChingYen,Derthick,M,803,683-3401,MONETTA,SC,29105,M,N,95000,7,0,6600,0,27746
Chisato,Darell,F,603,311-7508,SALISBURY,NH,3268,S,N,90000,0,0,0,0,27975
Chrisila,Chartres,M,713,261-3520,WACO,TX,76714,S,N,30000,0,0,0,0,28356
Christoph,Perri,M,203,912-2245,PLAINVILLE,CT,6062,S,N,100000,5,12750,0,0,28767
Chrystopher,Michaelski,F,567,973-6635,CHESTER,OH,45720,M,Y,100000,3.8655128,0,2600,1300,28898
Chuanyi,Andaleon,F,319,687-8513,GRAND JUNCTION,IA,50107,M,Y,60000,8.98,0,80,40,28982
Chuck,Mantione,M,870,338-8450,MINERAL SPRINGS,AR,71851,S,N,50000,7,20,0,0,29030
Chuen,Carroll,F,763,466-6857,MINNEAPOLIS,MN,55422,S,Y,25000,5.5895944,3300,0,3300,29060
Chumki,Dewez,F,806,123-6061,DALLAS,TX,75207,M,N,40000,0,0,0,0,29114
Cindy,Wittich,M,302,427-3041,CHESWOLD,DE,19936,S,N,95000,5.95,110,0,0,29390
Claudius,Lafond,F,971,134-6207,FLORENCE,OR,97439,M,Y,50000,9,0,318,159,29800
Claus,Yamagata,F,479,675-6864,DYER,AR,72935,S,N,65000,7,20,0,0,29815
Clifton,Mattmvann,F,785,812-7311,INGALLS,KS,67853,M,Y,20000,4.483333,0,4500,2250,29975
Clit,Rapin,M,443,664-4872,PARKVILLE,MD,21234,M,Y,50000,4.75,0,4800,2400,30045
Colleen,Dickey,M,402,970-8404,LINCOLN,NE,68529,M,N,80000,6.84,0,206,0,30269
Constantijn,Magliveras,M,337,445-2791,SHREVEPORT,LA,71118,S,N,10000,2,4500,0,0,30578
Cort,Caulk,M,928,454-6466,BLUE,AZ,85922,M,N,35000,3.2575,0,4200,0,31052
Courtland,Grospietsch,F,785,614-5865,SOLDIER,KS,66540,S,N,80000,6.45,2250,0,0,31186
Cristian,Turnbull,M,541,390-4777,LINCOLN CITY,OR,97367,M,Y,100000,9c.0,0,318,159,31273
Cyndi,Rasche,M,501,453-7657,ODEN,AR,71961,S,Y,30000,7,20,0,20,31670
Dagmar,Kauffman,F,701,100-6145,HILLSBORO,ND,58045,M,N,45000,2.2773614,0,6600,0,31952
Damian,Steininger,F,775,152-7059,REON,NV,89521,S,Y,75000,0,0,0,0,32348
Dannie,Langlais,F,281,760-7066,COAHOMA,TX,79511,M,Y,70000,0,0,0,0,32782
Dechang,Basili,F,352,458-6899,BOYNTON BEACH,FL,33424,M,Y,65000,0,0,0,0,34093
Dekel,Renous,M,202,548-8684,WASHINGTON,DC,20599,M,Y,70000,9,0,2740,1370,34433
Demetrios,Schewe,F,207,133-8891,MACHIASPORT,ME,4655,M,N,5000,2.2135036,0,5700,0,34574
Deoraj,Billington,F,425,384-9247,LA GRANDE,WA,98348,S,Y,80000,0,0,0,0,34824
Deren,Loyola,M,219,271-5177,POLAND,IN,47868,M,N,20000,3.4,0,2000,0,34845
Devina,Leroudier,F,971,657-3572,MANNING,OR,97125,S,N,50000,9,159,0,0,35330
Dhruba,Hiromitsu,M,702,793-5887,OVERTON,NV,89040,S,N,5000,0,0,0,0,35647
Dilvan,Junet,M,307,523-4528,CARPENTER,WY,82054,M,N,95000,0,0,0,0,36166
Dinabandhu,Rudin,F,912,452-2204,COLUMBUS,GA,31902,M,Y,30000,6,0,5400,3000,36281
Dionysis,Caneghem,F,571,701-3143,ALEXANDRIA,VA,22311,M,Y,60000,5.75,0,1800,900,36527
Dongchang,Anguilar,F,603,814-3248,PITTSBURG,NH,3592,M,N,40000,0,0,0,0,37507
Doru,Czyzowicz,F,203,677-5346,OAKVILLE,CT,6779,M,Y,15000,5,0,24500,0,38259
Doug,Sollins,F,207,943-8780,NORTH HAVEN,ME,4853,S,N,5000,2.2135036,2850,0,0,38313
Dusanka,Sieferas,M,419,998-4191,GOSHEN,OH,45122,S,Y,60000,2.537718,1300,0,1300,38996
Eddi,Loborg,F,406,214-6821,OUTLOOK,MT,59252,S,Y,5000,2.3732758,1900,0,1900,39490
Efraim,Etkin,F,208,185-9511,MCCAMMON,ID,83250,M,Y,20000,6.948391,0,6600,3300,40198
Eiiti,Hooker,M,623,908-2704,CHINO VALLEY,AZ,86323,S,N,55000,3.5674999,2100,0,0,40574
Eiju,Gool,F,434,575-5131,SUMERDUCK,VA,22742,M,N,70000,5.75,0,1800,0,40638
Eike,Sippi,F,802,697-1136,WEST DUMMERSTON,VT,5357,S,N,55000,4.099376,3300,0,0,40657
Elenora,Talmor,F,919,958-2602,GREENSBORO,NC,27415,S,N,70000,7.201049,3300,0,0,41387
Elfreda,Highnam,M,469,620-2943,CARTHAGE,TX,75633,M,N,95000,0,0,0,0,41411
Eliana,Blelloch,F,517,998-2657,ANN ARBOR,MI,48103,M,N,45000,3.9,0,6200,0,41527
Elliott,Behm,M,212,281-1929,BRANTINGHAM,NY,13312,S,Y,60000,4.3012195,0,0,1000,42034
Elvinia,Noortwijk,F,443,139-8971,ELKRIDGE,MD,21075,M,N,30000,4.75,0,4800,0,42289
Elvinia,Koon,F,636,243-7500,MOBERLY,MO,65270,S,Y,50000,6,2100,0,1200,42292
Emma,Peroz,M,417,372-3598,SAINT LOUIS,MO,63106,S,Y,75000,6,2100,0,1200,42774
Ender,Foong,M,307,828-8670,GILLETTE,WY,82716,S,N,40000,0,0,0,0,42902
Enrica,O''Hallaron,F,808,634-3926,LAIE,HI,96762,M,N,95000,8.25,0,2080,0,43107
Ephrem,Raither,F,605,920-8424,SELBY,SD,57472,M,N,15000,0,0,0,0,43214
Erdogan,Canos,F,307,955-5467,OTTO,WY,82434,S,Y,20000,0,0,0,0,43280
Ergun,Simone,M,504,250-5358,ELIZABETH,LA,70638,M,Y,80000,6,0,9000,1000,43321
Ergun,Rosuskov,M,307,154-3505,ALADDIN,WY,82710,M,N,25000,0,0,0,0,43334
Esko,Henson,M,775,804-6913,CARSON CITY,NV,89701,M,Y,40000,0,0,0,0,44007
Etienne,Stojanovski,F,615,855-3085,SHARPS CHAPEL,TN,37866,S,Y,65000,0,0,0,0,44380
Etsuya,Gaedke,M,435,970-5079,PARAGONAH,UT,84760,M,Y,35000,7,0,4950,2475,44479
Ewald,Barraquand,F,207,201-5292,RICHMOND,ME,4357,M,N,45000,8.5,0,5700,0,45111
Ewald,Bae,F,406,246-7372,HELENA,MT,59601,M,Y,85000,6.9,0,3800,9100,45116
Eytan,Thomson,M,608,712-1099,REESEVILLE,WI,53579,M,N,20000,4.7939067,0,1400,0,45254
Fabiano,Wile,M,715,609-6817,WEYAUWEGA,WI,54983,S,Y,5000,4.6,700,0,400,45340
Fabrice,Rohlicek,***,262,553-3293,RACINE,WI,53405,S,Y,75000,5.7495394,700,0,400,45417
Fadila,Rebeuf,F,651,562-2276,WINNEBAGO,MN,56098,S,N,55000,7.1904483,3300,0,0,45540
Falko,Salmon,F,908,563-5626,ROCHELLE PARK,NJ,7662,sS,Y,90000,2.5039582,1000,0,1500,45727
Fangju,Merey,F,812,895-2616,LA FONTAINE,IN,46940,M,Y,95000,3.4,0,2000,1000,45801
Fanya,McNaught,F,218,746-2372,LORETTO,MN,55595,S,Y,50000,6.9236393,3300,0,3300,45919
Fariba,Monarch,M,308,219-4675,ANSLEY,NE,68814,S,N,90000,6.84,103,0,0,46033
Faten,Nachman,F,401,965-9287,WAKEFIELD,I,2880,M,Y,20000,0,0,0,0,46390
Federico,Marzullo,F,360,622-6422,SEATTLE,WA,98121,S,Y,30000,0,0,0,0,46591
Fengjie,Welcome,F,435,832-3270,SAINT GEORGE,UT,84771,S,Y,95000,7,2475,0,2475,47072
Ferran,Coxon,F,803,774-1956,MYRTLE BEACH,SC,29572,M,Y,50000,7,0,6600,3300,47315
Fiorella,Haldar,M,812,797-4606,FORT WAYNE,IN,46865,S,Y,5000,3.4,1000,0,1000,47810
Firoz,Waterman,M,606,288-7841,BRONSTON,KY,42518,S,N,20000,2.9444444,20,0,0,47851
Floris,Masand,F,479,477-9882,CONWAY,AR,72034,S,Y,100000,7,20,0,20,48154
Fons,Skala,F,864,831-9770,CLEARWATER,SC,29822,M,Y,25000,7,0,6600,3300,48248
Francoise,Lepape,F,319,593-6114,GRAFTON,IA,50440,S,N,95000,8.98,40,0,0,48908
Frantisek,Stevens,M,559,130-4844,LOS ANGELES,CA,90071,S,Y,100000,9.3,87,0,272,49025
Fukumi,Hacid,F,302,796-6048,WILMINGTON,DE,19898,M,Y,70000,5.95,0,220,110,49771
Fumihiro,Thoben,F,971,271-5651,MALIN,OR,97632,S,Y,70000,9,159,0,159,49897
Fumiko,Schwiegelshohn,M,563,267-2606,HUMESTON,IA,50123,M,Y,30000,4.795432,0,80,40,49924
Gabi,Benzley,M,775,977-5255,FALLON,NV,89496,S,N,25000,0,0,0,0,50312
Gabriela,Brugnano,M,605,247-9326,LENNOX,SD,57039,S,N,90000,0,0,0,0,50365
Gaby,Halevi,M,787,180-6984,GARROCHALES,PR,652,S,Y,25000,0,0,0,0,50410
Galia,Adamczyk,M,308,665-2989,WAHOO,NE,68066,S,N,90000,6.84,103,0,0,50885
Geereddy,Mutka,F,605,995-6229,IRENE,SD,57037,S,Y,55000,0,0,0,0,51705
Geetha,Fraichard,F,719,702-1144,ALLENSPARK,CO,80510,S,N,5000,4.63,0,0,0,51739
Georgy,Bedard,F,605,721-6267,REDIG,SD,57776,S,N,25000,0,0,0,0,52438
Gerco,Randall,M,303,609-2974,TWIN LAKES,CO,81251,S,Y,10000,4.63,0,0,0,52704
Gerd,Boughanem,M,701,185-5107,PAGE,ND,58064,S,N,10000,2.1,3300,0,0,52721
Gerri,Minemura,M,508,984-9464,WARWICK,MA,1378,S,Y,15000,5.3,3575,0,1000,52988
Gerrine,Oberhuber,F,785,966-1031,LEBANON,S,66952,M,N,15000,3.5,0,4500,0,53007
Giacinto,Bickmore,M,208,934-9006,BURLEY,ID,83318,S,Y,75000,7.8,3300,0,3300,53574
Gianna,Cooman,F,406,782-2625,LOMA,MT,59460,S,Y,30000,6.9,1900,0,1900,53838
Gilbert,Leuschel,M,706,299-9326,VIDALIA,GA,30475,S,N,40000,6,2700,0,0,54120
Giora,Macias,M,609,220-2344,HELMETTA,NJ,8828,S,N,45000,1.7942708,1000,0,0,54361
Gitta,Karsner,F,803,652-5250,GREENWOOD,SC,29648,M,Y,30000,7,0,6600,3300,54740
Goa,Hillyard,F,406,748-4398,LAUREL,MT,59044,M,Y,80000,6.9,0,3800,1900,55140
Goffredo,Hatonen,F,508,994-2714,MONSON,MA,1057,S,N,90000,5.3,3575,0,0,55310
Golgen,Herget,F,360,142-2708,RENTON,WA,98058,M,Y,65000,0,0,0,0,55422
Gregoria,Kell,F,207,910-6870,GREENE,ME,4236,S,Y,65000,8.5,2850,0,2850,56538
Gregoris,Chihara,F,205,603-6772,SARDIS,AL,36775,S,N,45000,5,1500,0,0,56590
Greta,MacLachlan,F,270,398-7568,HINKLE,KY,40953,S,N,65000,5.4444447,20,0,0,56612
Guanghua,Yglesias,M,802,791-9883,RUTLAND,VT,5702,M,N,50000,3.9998987,0,6600,0,56948
Guangye,Gardarin,F,302,440-1128,MILLVILLE,DE,19967,S,N,95000,5.95,110,0,0,57046
Gudrun,Sinolakis,M,507,792-1936,PERHAM,MN,56573,M,Y,95000,7.85,0,6600,3300,57205
Guilang,Asplund,M,513,936-8849,MURRAY CITY,OH,43144,S,N,5000,0.712,1300,0,0,57443
Gunther,Usmani,F,781,976-2906,WESTBOROUGH,MA,1582,M,Y,55000,5.3,0,7150,1000,57883
Guohua,Schachtel,F,202,776-6736,WASHINGTON,DC,20061,M,Y,55000,9,0,2740,1370,58077
Guoping,Taubman,F,605,628-6557,BRIDGEWATER,SD,57319,S,N,15000,0,0,0,0,8589934652
Hae,Zongming,M,901,764-1989,TEN MILE,TN,37880,M,Y,70000,0,0,0,0,8589935709
Hafedh,Thalhammer,M,848,263-6837,VIENNA,NJ,7880,M,Y,65000,2.1096876,0,2000,1500,8589935803
Hagen,Snyers,,646,473-8342,CLEMONS,NY,12819,S,Y,80000,4.4170732,0,0,1000,8589935858
Haiyen,Weissman,M,661,970-2007,SALINAS,CA,93902,M,N,50000,9.3,0,174,0,8589936367
Hanmao,Flatt,M,605,996-8224,QUINN,SD,57775,S,N,70000,0,0,0,0,8589937210
Hannah,Gool,F,316,412-9411,BONNER SPRINGS,KS,66012,S,Y,15000,3.5,2250,0,2250,8589937261
Hannes,Fernald,M,845,918-6322,JASPER,NY,14855,M,N,80000,4.4170732,0,0,0,8589937309
Hannu,Dingus,M,270,465-4079,GRAVEL SWITCH,KY,40328,S,Y,15000,2.6666667,20,0,2,8589937386
Hany,Avritzer,F,239,683-9440,PALM BAY,FL,32908,M,N,25000,0,0,0,0,8589937659
Haojin,Nitzan,F,913,755-5156,MILTON,KS,67106,M,Y,30000,6.45,0,4500,2250,8589937725
Haralampos,Bard,M,504,143-9139,ARNAUDVILLE,LA,70512,M,Y,10000,2,0,9000,1000,8589937793
Haya,Brookner,F,903,561-7774,LONGVIEW,TX,75603,M,N,50000,0,0,0,0,8589938732
Hayao,Riet,M,207,440-1538,FREEPORT,ME,4033,S,Y,55000,8.5,2850,0,2850,8589938772
Heino,Mutlu,F,939,825-4785,UTUADO,PR,641,M,Y,90000,0,0,0,0,8589939442
Hemang,Moudini,F,212,728-4198,FARMINGDALE,NY,11735,M,N,35000,4.1564026,0,0,0,8589939817
Hguyen,Guizani,F,734,244-7964,SPARTA,MI,49345,S,Y,45000,3.9,3100,0,3100,8589940673
Hidetaka,Scheunemann,F,580,329-9697,TULSA,OK,74121,S,Y,10000,6.25,1000,0,1000,8589941147
Hideyuki,Tidwell,M,623,135-8804,MESA,AZ,85205,S,N,45000,3.4125,2100,0,0,8589941297
Hilary,Pfau,F,207,574-8386,CARMEL,ME,4419,S,N,40000,8.5,2850,0,0,8589941425
Hisayuki,Dustdar,F,702,588-2021,LAS VEGAS,VN,89170,S,Y,15000,0,0,0,0,8589942585
Holland,Bittar,M,502,938-7059,CLOSPLINT,KY,40927,M,N,90000,6,0,40,0,8589942989
Hongguang,Gribomont,M,605,832-5587,OLIVET,SD,57052,M,Y,60000,0,0,0,0,8589943301
Hongguang,Ilarraza,M,970,549-8441,RED CLIFF,CO,81649,S,Y,25000,4.63,0,0,0,8589943321
Hongsing,Balkir,F,302,299-2285,MAGNOLIA,DE,19962,M,N,65000,5.95,0,220,0,8589943528
Hoong,Karzanov,M,302,653-7318,FRANKFORD,DE,19945,M,Y,10000,2.540909,0,220,110,8589943766
Horatiu,Rios,F,206,746-7341,JOYCE,WA,98343,M,N,75000,0,0,0,0,8589943803
