zip,areacode,state,fname,lname,gender,phone,city,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,index
83871,208,ID,Talal,Farah,M,255-2721,TROY,M,N,40000,7.8,0,6600,0,17179920442
83871,208,ID,Yaron,Moffat,M,714-7238,TROY,S,Y,70000,7.8,3300,0,3300,25769819037
85334,480,Z,Toshimitsu,Grit,M,184-1843,EHRENBERG,S,N,45000,3.4125,2100,0,0,17179926704
89711,702,V,Duckyoung,Messmer,M,904-4342,CARSON CITY,M,Y,80000,0,0,0,0,38628
4221,207,ME,Arno,Lukasiewicz,F,161-1245,CANTON,M,Y,55000,8.5,0,5700,2850,11591
4221,207,ME,Susanta,Hoffner,M,714-4786,CANTON,M,N,30000,8.5,0,5700,0,17179918025
5485,802,VT,Ilka,Dendorfer,M,544-8194,SHELDON SPRINGS,M,N,5000,3.6,0,6600,0,8589947049
5485,802,VT,Eithan,Zadeh,M,974-9712,SHELDON SPRINGS,S,N,60000,4.1988535,3300,0,0,40923
21264,240,MD,Bedrich,Dingus,M,793-5373,BALTIMORE,S,N,80000,4.75,2400,0,0,16993
25560,304,WV,Rakefet,Smeets,F,750-5397,SCOTT DEPOT,S,Y,70000,6.5,2000,0,2000,17179891057
25560,304,WV,Yehea,Murta,M,844-2088,SCOTT DEPOT,M,Y,60000,6.5,0,4000,2000,25769819709
29449,864,C,Alvy,Cherief,M,730-3758,HOLLYWOOD,M,N,40000,7,0,6600,0,6284
29672,803,CS,Heuey,Blaine,F,718-7976,SENECA,M,N,20000,7,0,6600,0,8589940583
35091,205,L,Oriol,Fouchal,F,246-9420,KIMBERLY,M,N,25000,5,0,3000,0,17179880628
54152,414,IW,Noppanunt,Matthew,F,638-4334,NICHOLS,S,Y,60000,5.488912,700,0,400,17179878651
57563,605,SD,Abigail,Kontos,F,946-8919,OKREEK,S,Y,15000,0,0,0,0,915
57563,605,SD,Elfriede,Nieuwejaar,M,139-6734,OKREEK,M,Y,60000,0,0,0,0,41419
59720,406,dMT,Martii,Birtle,F,374-9803,CAMERON,S,N,25000,6.9,1900,0,0,8589985183
59823,406,TM,Ida,Scholler,M,796-7695,BONNER,M,Y,15000,6.9,0,3800,1900,8589946283
66959,785,iKS,Kijoo,Fayyad,M,595-8521,MUNDEN,S,Y,95000,6.45,2250,0,2250,8589967398
68018,402,EN,Egor,McCallien,F,931-2067,COLON,S,Y,75000,6.84,103,0,103,40406
80744,720,CO,Kathryn,Chattergy,F,380-5448,OVID,M,Y,15000,4.63,0,0,0,8589963289
80744,720,CO,Woo,Gingras,M,424-4159,OVID,M,Y,80000,4.63,0,0,0,25769814907
82001,307,vWY,Ramiro,Flotzinger,F,146-6368,CHEYENNE,M,Y,40000,0,0,0,0,17179891573
84326,435,TU,Hudai,Seggelke,F,418-9839,MILLVILLE,M,Y,60000,7,"",4950,2475,8589944755
86342,480,AZ,Hikaru,Speel,F,643-5739,LAKE MONTEZUMA,M,Y,75000,3.8775,0,4200,2300,8589941325
86342,480,AZ,Lanfranco,Nagasaki,F,214-2951,LAKE MONTEZUMA,S,N,30000,3.1799998,2100,0,0,8589972925
87072,505,MN,Sorana,Michalak,M,457-9803,COCHITI PUEBLO,S,N,35000,5.3,3300,0,0,17179913275
87525,505,NM,Mikel,Prieur,M,639-7941,TAOS SKI VALLEY,M,Y,25000,5.3,0,6600,3300,8589990392
87525,505,NM,Penelope,Justin,F,107-2676,TAOS SKI VALLEY,M,Y,30000,5.3,0,6600,3300,17179884098
98925,360,WA,Grigore,Nivat,M,480-1954,EASTON,M,Y,95000,0,0,0,0,56678
98925,360,WA,Kiam,Bebjak,F,442-6788,EASTON,S,Y,95000,0,0,0,0,8589967198
99213,425,WA,Wes,Blustein,F,922-9439,SPOKANE,S,N,50000,0,0,0,0,25769813192
99401,253,WA,Uma,Colgate,F,395-9412,ANATONE,S,N,50000,0,0,0,0,25769805848
99401,253,WA,Guisseppi,Odubiyi,M,639-9516,ANATONE,S,N,25000,0,0,0,0,57592
2812,401,IR,Sihai,Bay,M,672-2994,CAROLINA,M,Y,15000,0,0,0,0,17179911049
6723,860,CT,Jacobijn,Pachowicz,F,477-9163,WATERBURY,S,N,90000,5,12750,0,0,8589949937
6723,860,CT,Minder,Ihde,M,564-5330,WATERBURY,M,Y,50000,5,0,24500,0,8589990981
20579,202,CD,Lurdes,Copperman,M,369-4994,WASHINGTON,S,N,45000,9,1370,0,0,8589979388
29356,803,C,Jayant,Krider,M,561-1091,LANDRUM,"",Y,45000,7,3300,0,3300,8589952452
46710,812,IN,Nicolaos,Stranks,M,806-1077,AVILLA,S,Y,25000,3.4,1000,0,1000,17179876889
46710,812,IN,Changsheng,Kermode,M,612-1677,AVILLA,M,N,95000,3.4,0,2000,"",26090
57748,605,kSD,Stergios,Winn,M,677-7356,HOWES,M,N,100000,0,0,0,0,17179915305
69043,402,pNE,Pierrette,DiPasquo,M,796-5185,STRATTON,M,Y,50000,6.84,0,206,103,17179885800
74187,918,OK,Eiichiro,Casciola,F,668-4446,TULSA,S,N,45000,6.25,1000,0,0,40568
74342,405,K,Talel,Wafin,F,868-9744,EUCHA,S,N,50000,6.25,1000,0,0,17179920473
74842,580,KO,Masaharu,Hendler,M,424-2058,FITTSTOWN,S,N,15000,6.25,1000,0,0,8589985659
96792,808,HI,Prabhu,Plumb,M,439-1865,WAIANAE,M,Y,30000,6.447368,0,2080,1040,17179886909
96792,808,HI,Calton,Palmore,F,573-5815,WAIANAE,M,N,60000,8.25,0,2080,0,23120
96811,808,HI,Mohd,McAfee,M,480-8204,HONOLULU,M,N,70000,8.25,0,2080,0,17179869357
96811,808,HI,Pak,Thoreson,M,753-6798,HONOLULU,M,Y,45000,8.25,0,2080,1040,17179881956
98408,425,WA,Bhaskaran,Skafidas,F,777-4878,TACOMA,M,N,40000,0,0,0,0,18958
98408,425,WA,Deryle,Humborstad,M,503-2817,TACOMA,S,Y,100000,0,0,0,0,35072
99811,907,KA,Shem,Plutat,F,697-8690,JUNEAU,S,N,45000,0,0,0,0,17179906890
653,787,PR,Yonhao,Pettersen,F,645-1017,GUANICA,M,Y,90000,0,0,0,0,25769822330
653,787,PR,Sundar,Heusler,F,548-5126,GUANICA,S,N,100000,0,0,0,0,17179917056
741,787,dPR,Shimon,Guetari,M,956-5445,PUNTA SANTIAGO,M,N,85000,0,0,0,0,17179907999
2831,401,RkI,Yarou,Catot,M,523-9745,HOPE,M,N,60000,0,0,0,0,25769819048
2920,401,I,Paloma,Cosma,F,421-7254,CRANSTON,M,Y,15000,0,0,0,0,17179882110
6726,203,CT,Viswanath,Worthington,F,854-8292,WATERBURY,S,N,90000,5,12750,0,0,25769809966
6726,203,CT,Pro,Ullah,M,830-3303,WATERBURY,S,Y,40000,5,12750,0,0,17179887867
7103,862,NuJ,Leonie,Prieto,M,706-2884,NEWARK,M,Y,5000,1.4,0,2000,1500,8589974512
29107,803,CS,Waiman,Krumm,M,671-5456,NEESES,M,Y,85000,7,0,6600,3300,25769811081
35056,334,AvL,Kiyoto,Choukair,M,766-9435,CULLMAN,M,N,20000,5,0,3000,0,8589968493
39323,769,MS,Naim,Streng,F,458-5192,CHUNKY,M,N,80000,5,0,12000,0,17179873311
39323,769,MS,Anneli,Siliprandi,F,272-4664,CHUNKY,M,Y,30000,5,0,12000,1500,9109
41314,859,YK,Srecko,Palhang,M,687-7979,BOONEVILLE,S,N,45000,4.333333,20,0,0,17179914031
72722,870,R,Duong,Kittredge,F,443-3165,DECATUR,S,N,30000,7,20,0,0,38848
82945,307,WY,Miche,Namjoshi,M,174-3075,SUPERIOR,M,Y,85000,0,0,0,0,8589989460
82945,307,WY,Zuoquan,Letelier,M,464-6842,SUPERIOR,M,N,5000,0,0,0,0,25769829271
83328,208,DI,Ahvin,Plantinga,F,556-1714,FILER,M,N,45000,7.8,0,6600,0,2669
85934,602,AZ,Ken,Chaudhury,F,425-5760,PINEDALE,M,Y,20000,3.0249999,0,4200,2300,8589965594
96713,808,IH,Sheelagh,Kutylowski,M,308-7270,HANA,M,Y,70000,8.25,0,2080,1040,17179906595
613,939,PR,Jianying,Westby,F,789-4051,ARECIBO,M,Y,95000,0,0,0,0,8589954730
613,939,PR,Jihie,Coppola,M,145-1783,ARECIBO,S,N,5000,0,0,0,0,8589955123
2903,401,I,Corina,Berger,F,534-8587,PROVIDENCE,S,Y,55000,0,0,0,0,30811
3810,603,NH,Elli,Keates,F,275-4278,ALTON BAY,M,N,80000,0,0,0,0,41985
3810,603,NH,Honari,Vitthal,F,653-4066,ALTON BAY,M,Y,90000,0,0,0,0,8589943144
3849,603,H,Alfonz,Dendorfer,M,555-2772,MADISON,M,Y,65000,0,0,0,0,5208
5875,802,VT,Maitham,Tschernko,F,805-9937,WEST GLOVER,M,N,75000,4.4972854,0,6600,0,8589981062
5875,802,VT,Sadamu,Macgreghor,M,299-7170,WEST GLOVER,M,N,20000,3.6,0,6600,0,17179899233
20042,202,DC,Sahrah,Pileggi,M,930-3712,WASHINGTON,M,N,75000,9,0,2740,0,17179899709
20042,202,DC,Edisanter,Kranakis,M,155-9613,WASHINGTON,M,N,45000,9,0,2740,0,39631
20626,443,DM,Naeem,Hanover,F,235-1099,COLTONS POINT,S,Y,15000,4.75,2400,0,2400,17179872905
21902,240,MsD,Isaac,Lovett,F,163-5431,PERRY POINT,M,N,45000,4.75,0,4800,0,8589948407
29047,864,CS,Sariel,Castangia,F,883-1979,ELLOREE,S,Y,35000,7,3300,0,3300,17179902305
30374,678,GA,Barradas,Prahl,F,223-5242,ATLANTA,S,N,65000,6,2700,0,0,16225
56920,202,DC,Leysia,Khalid,M,650-4283,PARCEL RETURN SERVICE,S,Y,85000,9,1370,0,1370,8589974933
56920,202,DC,Guilherme,McDonald,F,957-9683,PARCEL RETURN SERVICE,S,N,35000,9,1370,0,0,57502
59010,406,MzT,Nimmagadda,Casperson,F,198-7723,BIGHORN,M,N,85000,6.9,0,3800,0,17179877563
68460,308,NE,Elan,Pinto,M,964-6879,WACO,S,N,55000,6.84,103,0,0,41147
68460,308,NE,Seizaburo,Trinidad,M,356-8108,WACO,M,Y,15000,4.7976766,0,206,103,17179903717
72001,870,AR,Dirk,Yagati,F,846-4056,ADONA,S,Y,85000,7,20,0,20,36706
84011,801,T,Ville,Scardovelli,M,185-4893,BOUNTIFUL,M,Y,100000,7,0,4950,2475,25769809185
84745,435,UnT,Hsi,Parris,F,157-1789,LA VERKIN,S,Y,10000,7,2475,0,2457,8589944336
87556,505,NM,Peri,Leguy,F,619-5776,QUESTA,M,Y,50000,5.3,0,6600,3300,17179884327
87556,505,NM,Zoe,Vorc''h,M,783-4504,QUESTA,S,N,85000,5.3,3300,0,0,25769828841
88211,505,MN,Prodip,Cestnik,M,843-4893,ARTESIA,S,N,95000,5.3,3300,0,0,17179887879
89008,775,V,Sven,Machiraju,M,147-9248,CALIENTE,M,Y,15000,0,0,0,0,17179918390
91209,530,AC,Maheswara,Sauder,M,513-2058,GLENDALE,S,N,70000,9.3,87,0,0,8589980790
96759,808,I,Bhubaneswar,Anastasakis,cM,555-4087,KUNIA,S,N,20000,4.644737,1040,0,0,19009
97459,503,OR,Tsipora,Zuiderveld,M,666-8475,NORTH BEND,S,N,60000,9,159,0,0,25769804182
97459,503,OR,Sangchul,Kirkgoze,M,398-6227,NORTH BEND,S,N,55000,9,159,0,0,17179901324
99832,907,iAK,Supriyo,Gitler,F,572-1214,PELICAN,S,Y,35000,0,0,0,0,17179917490
6167,860,CT,Sergej,Maslak,"",615-7355,HARTFORD,S,N,70000,5,12750,0,0,17179904495
6167,860,CT,Yaoqing,Prado,M,536-6988,HARTFORD,M,Y,40000,5,0,24500,0,25769818953
6516,203,T,Xunwei,Sudmann,F,513-4384,WEST HAVEN,S,Y,85000,5,12750,0,0,25769817722
29501,864,rSC,Xiong,Tavs,M,289-3851,FLORENCE,M,Y,30000,7,0,6600,3300,25769817214
36853,205,AL,Heesung,Berc,M,975-4696,DADEVILLE,M,N,90000,5,0,3000,0,8589939161
37866,931,TnN,Shengrui,Mantione,F,545-4963,SHARPS CHAPEL,M,N,100000,0,0,"",0,17179907002
45459,419,OH,Fredrik,Levasseur,F,115-9055,DAYTON,S,Y,30000,1.5418718,1300,0,1300,49350
57078,605,SvD,Krasimir,Zaitzeff,F,329-1705,YANKTON,S,Y,20000,0,0,0,0,8589969930
57702,605,D,Qiping,Schmezko,M,438-9130,RAPID CITY,S,Y,60000,0,0,0,0,17179888626
58241,701,DN,Chabane,Forier,M,496-1802,HENSEL,M,Y,55000,2.3932838,0,6600,3300,25238
71957,501,AR,Kunikazu,Meeson,M,609-4800,MOUNT IDA,M,Y,80000,7,0,40,20,8589971211
71957,501,AR,Narayan,Gaposchkin,F,124-4672,MOUNT IDA,S,N,20000,4.9682083,20,0,0,17179874305
72131,479,AR,Javier,Esparza,F,94-7305,QUITMAN,S,Y,30000,7,20,0,20,8589952229
80805,720,sCO,Femke,Kapp,M,710-5007,BETHUNE,M,Y,25000,4.63,0,0,0,46993
83660,208,ID,Starr,Katzenberg,M,191-6017,PARMA,M,Y,10000,4.109693,0,6600,3300,17179914782
83660,208,ID,Melinda,Bartlay,M,813-7587,PARMA,M,Y,90000,7.8,0,6600,3300,8589988398
83660,208,ID,Vijayalakshmi,Devine,F,966-6476,PARMA,M,Y,15000,5.529042,0,6600,3300,25769808889
84068,435,UT,Franky,Radzik,F,403-4229,PARK CITY,S,N,25000,7,2475,0,0,49011
84068,435,UT,Tuomo,Courboulet,M,942-3681,PARK CITY,M,N,65000,7,0,4950,0,25769804735
84130,435,UT,Ezhan,Zyda,M,867-2832,SALT LAKE CITY,M,N,95000,7,0,4950,0,45269
84130,435,UT,Takio,Avouris,M,128-4839,SALT LAKE CITY,S,Y,90000,7,2475,0,2475,17179920274
89047,775,V,Eldridge,Calisti,aF,928-1679,SILVERPEAK,S,Y,30000,0,0,0,0,41263
99585,907,AK,Rajanarayanan,Tardiff,F,275-6034,MARSHALL,M,Y,30000,0,0,0,0,17179890629
99585,907,AK,Denzil,Sigel,M,416-4174,MARSHALL,S,N,40000,0,0,0,0,34804
601,939,PcR,Polina,Welinder,M,729-9116,ADJUNTAS,M,N,30000,0,0,0,0,17179886538
6096,203,TC,Lei,Stancampiano,F,807-5248,WINDSOR LOCKS,M,Y,15000,5,0,24500,0,8589973939
19944,302,ED,Simant,Karg,M,202-5781,FENWICK ISLAND,M,Y,85000,5.95,0,220,110,17179911269
25271,304,WV,Leonhard,Thorensen,F,420-6286,RIPLEY,M,N,90000,6.5,0,4000,0,8589974427
25271,304,WV,Sinisa,Woog,M,710-9234,RIPLEY,S,Y,70000,6.5,2000,0,2000,17179911620
36644,205,dAL,Philippe,Coradeschi,F,311-2033,MOBILE,S,Y,15000,5,1500,0,300,17179885092
37146,901,TN,Eliane,Izumida,F,455-4052,PLEASANT VIEW,S,N,40000,0,0,0,0,41549
37146,901,TN,Laks,Suzaki,F,725-1834,PLEASANT VIEW,S,***,75000,0,0,0,0,8589972506
38804,228,S,Clinton,Mottet,M,645-4808,TUPELO,M,N,40000,5,0,12000,0,30018
50801,515,IA,Idit,Mottet,M,975-5837,CRESTON,jM,Y,25000,4.0235424,0,80,40,8589946314
50801,515,IA,Hanafy,Abraham,F,755-6668,CRESTON,M,Y,60000,8.98,0,80,40,8589937013
80038,970,CO,Ayodele,Cheikhrouhou,F,424-1817,BROOMFIELD,M,N,25000,4.63,0,0,0,14810
80038,970,CO,Larry,Benantar,M,544-7213,BROOMFIELD,M,Y,70000,4.63,0,0,0,8589973129
84049,801,xUT,Ytha,Sudkamp,F,751-7074,MIDWAY,M,Y,50000,7,0,4950,2475,25769823916
84729,801,UT,Carmelo,Tapanainen,F,455-2153,GLENDALE,S,N,95000,7,2475,***,0,23900
84729,801,UT,Singaravel,Louth,M,625-5999,GLENDALE,M,Y,50000,7,0,4950,2475,17179911547
784,939,PR,Iabelle,Reye,M,396-1061,GUAYAMA,S,Y,60000,0,0,0,0,8589946042
784,939,PR,Paicheng,Hoede,F,546-7991,GUAYAMA,M,N,5000,0,0,0,0,17179881904
2874,401,IR,Thong,Daladier,F,156-7951,SAUNDERSTOWN,M,N,55000,0,0,0,0,17179923868
4106,207,E,Alia,Alderson,F,459-7904,SOUTH PORTLAND,M,N,65000,8.5,0,5700***,0,5377
25779,304,V,Ferdinand,Riel,F,800-2672,HUNTINGTON,S,Y,25000,4.05,2000,0,2000,47163
30349,478,GA,Souji,Musha,F,258-8706,ATLANTA,M,N,90000,6,0,5400,0,17179913540
35893,334,L,Amitabha,Uppaluru,F,856-9301,HUNTSVILLE,S,N,60000,0.5,1500,0,0,7058
40059,606,KY,Colm,Cau,M,955-7548,PROSPECT,***,Y,65000,5.444447,20,0,20,30322
40059,606,KY,Jarallah,Capps,F,167-9950,PROSPECT,M,Y,5000,2.1111112,0,40,20,8589951633
51056,712,IA,Jianhua,Krawitz,M,815-6129,SMITHLAND,S,Y,95000,8.98,40,0,40,8589954341
59213,406,TM,Tassadit,Navazio,F,977-1643,BROCKTON,M,Y,5000,2.3732758,0,3800,1900,17179921354
59703,406,TM,Giangiacomo,Itzigehl,F,717-1992,BUTTE,M,Y,70000,6.9,0,3800,1900,53778
72472,501,AR,Hiroyuki,Linusson,F,905-3993,TRUMANN,S,N,30000,7,20,0,0,8589942439
74842,580,OK,Basilis,Desautels,M,607-6742,FITTSTOWN,M,N,5000,3.0555556,0,2000,0,16582
74842,580,OK,Aviezri,Lindenbaum,zM,291-5171,FITTSTOWN,S,N,5000,3.0555556,1000,0,0,14268
82935,307,dWY,Inman,Hilliard,F,233-2o227,GREEN RIVER,S,Y,55000,0,0,0,0,8589947804
88103,505,gNM,Srinivasan,Pokoski,F,461-4693,CANNON AFB,S,Y,80000,5.3,3300,0,3300,17179914360
99765,907,K,Daivd,Noll,F,976-2762,NULATO,M,Y,70000,0,0,0,0,32190
2061,339,AM,Yasusuke,Agnew,F,920-9906,NORWELL,S,N,10000,5.3,3575,0,0,25769819493
7732,609,NJ,Kinya,Menninger,F,769-8456,HIGHLANDS,S,Y,90000,2.5039582,1000,0,1500,8589967897
38623,769,MS,Baldeo,Geser,F,269-9096,DARLING,S,Y,30000,5,6000,0,1500,15613
38623,769,MS,Rodion,Reitz,M,813-2587,DARLING,S,Y,100000,5,6000,0,1500,17179895830
58401,701,NwD,Boo,Castells,F,457-4883,JAMESTOWN,S,Y,60000,2.451245,3300,0,3300,20862
59522,406,MT,Zhilin,Hauswirth,F,935-6758,CHESTER,M,N,5000,2.3732758,0,3800,0,25769827813
59522,406,MT,Hyuck,Pinzani,F,829-6904,CHESTER,S,N,75000,6.9,1900,0,0,8589945740
70392,504,A,Amokrane,Antognini,M,797-7126,PATTERSON,S,N,5000,2,4500,0,0,7195
71217,985,LA,Woody,Valkema,M,281-9030,MONROE,M,N,25000,6,0,9000,0,25769814954
83672,208,ID,Sixto,Cai,M,912-7374,WEISER,S,Y,35000,7.8,3300,0,3300,17179912008
83672,208,ID,Mingzeng,Torelli,F,785-4547,WEISER,S,N,20000,6.948391,3300,0,0,8589991273
83724,208,DI,Lorrin,Berendt,F,680-4779,BOISE,S,N,35000,7.8,3300,0,0,8589977956
83812,208,DI,Idris,Feulner,F,992-9788,CLARKIA,S,N,100000,7.8,3300,0,0,8589946400
84132,435,TU,Snjiv,Haraguchi,F,548-5618,SALT LAKE CITY,S,Y,50000,7,2475,0,2475,17179912331
2839,401,RxI,Nofumi,Ponceleon,M,294-5570,MAPLEVILLE,S,Y,50000,0,0,0,0,17179878544
3826,603,NH,Hiroto,Merkl,F,621-4956,EAST HAMPSTEAD,S,N,5000,0,0,0,0,8589942236
3826,603,NH,Han,Gubsky,M,806-7901,EAST HAMPSTEAD,M,Y,20000,0,0,0,0,8589936963
26102,304,VW,Ludek,Cummings,F,358-4159,PARKERSBURG,M,Y,65000,6.5,0,4000,2000,8589978712
58356,701,D,Kifung,Pierro,M,800-9791,NEW ROCKFORD,S,Y,5000,2.1,3300,0,3300,8589967325
68018,402,NE,Tanji,Shimbo,M,872-4169,COLON,M,N,20000,5.685643,0,206,0,17179920884
68018,402,NE,Venkatesan,Orcutt,M,124-9439,COLON,M,N,30000,6.84,0,206,0,25769808080
68826,402,E,Benita,Tsvetovat,F,603-4361,CENTRAL CITY,M,Y,90000,6.84,0,206,103,17601
83334,208,ID,Evanthia,Kodera,M,970-9332,HANSEN,M,Y,35000,7.8,0,6600,3300,44912
83334,208,ID,Werner,Nytro,M,728-8783,HANSEN,M,Y,15000,5.529042,0,6600,3300,25769813114
87025,505,NM,Elsa,Schwandt,F,104-1583,JEMEZ SPRINGS,S,N,45000,5.3,3300,0,0,42202
87025,505,NM,Yanick,Tavangarian,M,870-8276,JEMEZ SPRINGS,M,N,50000,5.3,0,6600,0,25769818556
98587,425,A,Huifen,Pelz,M,597-4416,TAHOLAH,M,Y,75000,0,0,0,0,8589944939
19809,302,DE,Cathie,Martelli,F,148-9342,WILMINGTON,S,N,100000,5.95,110,0,0,24568
19809,302,DE,Verlyn,Peac,F,537-4592,WILMINGTON,S,nY,70000,5.95,110,0,110,25769808270
25624,304,WV,Changyuan,Fussichen,F,513-1595,HENLAWSON,M,Y,45000,5.45,0,4000,2000,26170
25624,304,WV,Shaoyun,Koschutzki,M,614-3239,HENLAWSON,M,N,70000,6.5,0,4000,0,17179906091
29107,864,C,Pinio,Calvi,F,157-9171,NEESES,M,Y,40000,7,0,6600,3300,17179886155
57656,605,SD,Khue,Pointcheval,F,368-9537,TIMBER LAKE,M,N,5000,0,0,0,0,8589967094
57656,605,SD,Jaijeet,Lenkov,M,192-2507,TIMBER LAKE,M,N,55000,0,0,0,0,8589950655
58274,701,ND,Liya,Yahalom,M,470-6835,PORTLAND,M,N,45000,2.2773614,0,6600,0,8589976894
58274,701,ND,Theresa,Bhat,F,767-4270,PORTLAND,M,N,95000,2.8569736,***,6600,0,17179923467
71221,225,LA,Audris,Sanden,M,243-6262,BASTROP,M,Y,35000,6,0,9000,1000,13810
72722,870,AR,Persi,Remington,M,457-5782,DECATUR,M,Y,80000,7,0,40,20,17179884482
72722,870,AR,Cristian,Picco,M,824-5117,DECATUR,S,Y,95000,7,20,***,20,31285
82009,307,Y,Harm,Goswami,M,848-4072,CHEYENNE,M,Y,60000,0,0,0,0,8589938071
85631,520,AZ,Gihyun,Itzfeldt,M,353-1552,SAN MANUEL,S,Y,65000,3.7224998,2100,0,2300,54059
87131,505,MN,Jarrett,Kroll,F,283-5156,ALBUQUERQUE,M,Y,95000,5.3,0,6600,3300,8589951971
87750,505,MN,Iksoo,Ugol''nikov,F,567-9197,VALMORA,M,Y,40000,5.3,0,6600,3300,8589946663
88043,505,fNM,Ronny,Alvarado,M,898-1648,HURLEY,S,N,30000,5.3,3300,0,0,17179896856
707,787,PR,Bonggi,Tishby,F,110-1076,MAUNABO,S,N,55000,0,0,0,0,20709
707,787,PR,Alak,Abrantes,M,745-7822,MAUNABO,M,N,40000,0,0,t0,0,4264
4966,207,ME,Huimin,Tulett,F,839-3894,PHILLIPS,M,Y,95000,8.5,0,5700,2850,8589944994
4966,207,ME,Heinz,Reinitzer,M,353-3812,PHILLIPS,S,Y,85000,8.5,2850,0,2850,8589939480
5039,802,zVT,Kalluri,Dravida,F,845-j8573,CORINTH,M,N,20000,3.6,0,6600,0,8589961517
7928,856,NnJ,Constantine,Miner,F,151-4927,CHATHAM,S,Y,95000,2.5828125,1000,0,1500,30599
20042,202,lDC,Nurith,Basler,F,629-9588,WASHINGTON,M,Y,15000,5.625,0,2740,1370,17179879195
