tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
356,brennan,wongsaroje,f,202,633-6149,washington,wdc,20203,m,n,60000,9.0,0,2740,0
357,ludwik,hamburg,m,978,529-7308,ashfield,ma,1330,m,y,5000,5.3,0,7150,1000
359,ward,cicchetti,f,603,219-3160,marlow,nh,3456,m,y,15000,0.0,0,0,0
367,tooru,miara,m,603,846-2406,glencliff,nh,3238,s,n,30000,0.0,0,0,0
369,herwig,massalin,m,302,240-3897,wilmington,de,19890,m,n,60000,5.95,0,220,0
373,lein,ang,f,857,188-6322,holyoke,ma,1041,s,y,90000,5.3,3575,0,1000
374,deene,clark,f,215,800-6906,philadelphia,pa,19139,s,y,30000,3.07,0,0,0
386,fernand,panagopoulou,f,508,205-7989,chicopee,ma,1013,m,y,90000,5.3,0,7150,1000
398,naeem,radzik,f,610,770-8043,mckeesport,pa,15132,m,y,85000,3.07,0,0,0
399,yongdong,nagase,m,908,328-4760,newport,nj,8345,s,n,65000,2.1096876,1000,0,0
400,henk,klawonn,m,410,268-6712,silver spring,md,20916,s,n,70000,4.75,2400,0,0
401,antony,monderer,m,802,854-5962,north ferrisburgh,vt,5473,s,n,65000,4.298331,3300,0,0
410,mohd,lavie,m,207,720-6245,eagle lake,me,4739,s,y,85000,8.5,2850,0,2850
415,fazli,kowalchuk,f,302,882-6872,townsend,de,19734,m,y,75000,5.95,0,220,110
421,avadis,dattasharma,m,508,449-5112,accord,ma,2018,s,y,85000,5.3,3575,0,1000
422,couto,xuedong,m,207,505-5650,north anson,me,4958,s,y,60000,8.5,2850,0,2850
425,woei,gurzi,m,302,272-4994,wilmington,de,19801,m,y,5000,2.2,0,220,110
430,toshifumi,leguy,f,939,334-4361,canovanas,pr,729,m,y,45000,0.0,0,0,0
432,houssem,sewry,m,401,266-7110,harrisville,ri,2830,s,n,55000,0.0,0,0,0
433,saydean,banare,m,508,137-3292,east weymouth,ma,2189,s,y,5000,5.3,3575,0,1000
434,lora,rosch,m,570,299-3852,chambersburg,pa,17201,s,n,55000,3.07,0,0,0
439,akmal,jahnichen,f,603,303-2843,salem,nh,3079,m,y,15000,0.0,0,0,0
441,asat,stevenson,m,202,196-4036,washington,c,20395,s,y,65000,9.0,1370,0,1370
442,frederic,machiels,f,203,720-4264,staffordville,ct,6077,m,y,60000,5.0,0,24500,0
448,joaquin,renegar,m,860,520-9731,norwich,ct,6360,s,y,70000,5.0,12750,0,0
450,byeong,hadfield,f,631,932-8771,new york,ny,10018,s,y,45000,4.2143292,0,0,1000
451,olivera,bian,m,860,519-2673,west haven,ct,6516,m,y,90000,5.0,0,24500,0
453,chengdian,falvo,f,212,344-6114,woodstock,ny,12498,s,n,50000,4.243293,0,0,0
454,ira,hajnal,m,631,420-5486,westbrookville,ny,12785,s,n,45000,4.2143292,0,0,0
463,harald,eichhorn,m,201,260-4653,new gretna,nj,8224,m,n,25000,1.4788542,0,2000,0
466,kellogg,chander,f,202,207-7256,washington,c,20585,s,n,55000,9.0,1370,0,0
467,ramaswamy,mccluskey,m,848,173-9544,netcong,nj,7857,s,n,90000,2.5039582,1000,0,0
470,kazuko,leishman,f,724,540-8466,goronville,pa,17529,m,n,80000,3.07,0,0,0
471,viresh,gierl,m,603,660-9974,hampton,nh,3842,s,n,40000,0.0,0,0,0
478,breck,maclean,m,267,181-8055,clarion,pa,16214,m,y,80000,3.07,0,0,0
479,xiaotao,claire,f,718,774-1245,new hyde park,ny,11043,m,y,90000,4.475,0,0,1000
480,bowen,rubinfield,f,607,621-9879,woodgate,ny,13494,s,n,65000,4.330183,0,0,0
484,elvia,bergen,f,860,436-2928,hartford,ct,6114,s,n,90000,5.0,12750,0,0
486,staphane,spitz,f,774,393-2358,stow,ma,1775,m,n,50000,5.3,0,7150,0
489,farid,guyer,m,302,632-2748,wilmington,de,19891,m,n,10000,2.540909,0,220,0
491,krisda,braschler,f,973,704-3168,trenton,nj,8604,m,y,35000,1.6365625,0,2000,1500
495,hongwei,clo,m,413,475-1491,east falmouth,ma,2536,m,y,80000,5.3,0,7150,1000
497,geraldo,lazensky,m,207,269-7129,southwest harbor,me,4679,m,y,60000,8.5,0,5700,2850
499,giora,macias,m,609,220-2344,helmetta,nj,8828,s,n,45000,1.7942707999999998,1000,0,0
502,paramsothy,orgass,f,774,823-8510,mill river,ma,1244,m,y,10000,5.3,0,7150,1000
504,toshihiro,gerla,f,351,318-2767,boston,ma,2284,s,y,20000,5.3,3575,0,1000
509,yuguang,barthou,m,609,405-2933,bayville,nj,8721,m,n,60000,2.0308332,0,2000,0
510,mitch,nuth,f,603,369-6445,haverhill,nh,3765,s,y,85000,0.0,0,0,0
518,jacco,lennartson,m,207,533-2237,freeport,me,4034,m,n,15000,6.9580293000000015,0,5700,0
531,bryony,haack,m,207,417-3289,oquossoc,me,4964,s,n,100000,8.5,2850,0,0
549,gennaro,trumbly,m,787,595-5613,coto laurel,pr,780,s,y,15000,0.0,0,0,0
561,ernestine,catto,m,518,882-6609,red creek,ny,13143,s,n,70000,4.359146,0,0,0
567,janette,manabe,f,203,287-2488,stamford,ct,6911,s,y,45000,5.0,12750,0,0
568,object,sittig,m,302,270-1200,cheswold,de,19936,s,n,65000,5.95,110,0,0
572,denis,leitner,f,802,206-2485,east saint johnsbury,vt,5838,m,n,95000,4.8951945,0,6600,0
576,domine,dolinsky,m,443,815-3646,riderwood,md,21139,s,n,80000,4.75,2400,0,0
577,mel,kiesler,m,787,296-3383,boqueron,pr,622,s,y,100000,0.0,0,0,0
582,zachary,moudgil,f,302,597-5590,newark,de,19716,m,y,85000,5.95,0,220,110
583,cathryn,melton,f,401,486-2392,aadmsville,ri,2801,m,y,90000,0.0,0,0,0
586,francoise,rahmstorf,f,410,535-5957,saint inigoes,md,20684,m,y,85000,4.75,0,4800,2400
588,lichun,poursepanj,f,717,581-8000,johnstown,pa,15909,s,n,90000,3.07,0,0,0
590,helko,vijaykrishnan,f,609,631-1900,milmay,nj,8340,s,y,55000,1.9519792,1000,0,1500
596,siau,toussaint,m,401,643-5396,providence,ri,2902,m,y,10000,0.0,0,0,0
599,soumitra,wetprasit,f,207,176-1377,thomaston,me,4861,m,n,70000,8.5,0,5700,0
605,anant,nagamachi,m,917,674-9698,bronx,ny,10462,m,y,5000,4.0,0,0,1000
606,mendel,lambe,f,603,211-6318,lancaster,nh,3584,s,y,70000,0.0,0,0,0
614,minghui,kubota,m,508,612-5997,charlton depot,ma,1509,m,y,80000,5.3,0,7150,1000
615,wonjun,reece,f,215,824-9790,ono,pa,17077,s,y,35000,3.07,0,0,0
616,shao,reece,m,508,565-6451,boston,ma,2118,m,y,5000,5.3,0,7150,1000
619,kermit,niedderreiter,f,973,907-1720,port monmouth,nj,7758,s,y,10000,1.4,1000,0,1500
622,ayakannu,zyryanov,f,410,750-3591,dundalk,md,21222,s,n,60000,4.75,2400,0,0
624,malee,gold,m,603,289-7431,concord,nh,3305,m,n,15000,0.0,0,0,0
625,sylvian,hinnebusch,m,939,925-8319,adjuntas,pr,601,s,y,45000,0.0,0,0,0
626,loan,gist,m,603,617-4373,portsmouth,nh,3801,s,n,65000,0.0,0,0,0
629,mariemma,chmielinska,m,585,631-6958,purling,ny,12470,s,n,45000,4.2143292,0,0,0
632,gultekin,khamsi,m,878,369-1063,tioga,pa,16946,s,n,45000,3.07,0,0,0
638,georgij,schwertel,m,202,608-8576,washington,cd,20507,m,y,10000,4.5,0,2740,1370
648,christophe,schuller,f,860,594-2013,south britain,ct,6487,s,n,60000,5.0,12750,0,0
649,samudra,ruthven,f,207,113-3380,howland,me,4448,m,n,65000,8.5,0,5700,0
651,ard,lindmark,f,603,777-1001,rumney,nh,3266,m,n,10000,0.0,0,0,0
653,markku,whitley,m,443,850-6499,bethesda,md,20824,s,y,75000,4.75,2400,0,2400
656,micheline,rubsam,f,203,382-9572,canaan,ct,6018,m,y,55000,5.0,0,24500,0
672,bette,szymczak,m,781,777-2635,boston,yma,2114,s,y,20000,5.3,3575,0,1000
674,takaaki,holager,f,301,204-3333,rockville,md,20852,s,n,95000,4.75,2400,0,0
679,giancarlo,weinreich,m,860,811-1281,essex,ct,6426,s,n,15000,5.0,12750,0,0
680,fanya,wavrik,f,914,113-9007,hicksville,ny,11802,m,n,20000,4.0695124,0,0,0
681,fosca,kandlur,m,202,766-3360,washington,c,20023,m,y,20000,6.75,0,2740,1370
684,darwyn,seegmuller,m,774,223-3659,north attleboro,ma,2760,m,y,95000,5.3,0,7150,1000
688,farooq,sekino,m,802,275-4925,grafton,vt,5146,s,n,100000,4.9946720000000004,3300,0,0
690,ingar,noakes,m,203,108-7125,west hartford,ct,6117,s,y,60000,5.0,12750,0,0
692,ingrid,hagimont,m,207,696-4590,,me,4973,m,n,65000,8.5,0,5700,0
698,murthy,burgess,m,802,616-6409,north hero,vt,5474,s,n,20000,3.6,3300,0,0
713,rain,luef,f,301,708-4444,chesapeake beach,md,20732,s,n,50000,4.75,2400,0,0
728,annette,perly,f,207,195-3777,bustins island,me,4013,s,n,10000,4.5857663,2850,0,0
738,egil,rajamony,m,203,595-2698,moosup,ct,6354,s,y,90000,5.0,12750,0,0
739,cathleen,miczo,f,516,967-1601,new paltz,ny,12561,m,n,50000,4.243293,0,0,0
740,les,kermode,f,202,868-7188,washington,dac,20201,m,y,85000,9.0,0,2740,1370
746,lenhart,birch,m,413,257-5349,sandwich,ma,2563,s,n,50000,5.3,3575,0,0
747,nathan,nations,f,240,253-4529,cumberland,md,21503,s,n,5000,4.75,2400,0,0
750,subhodev,robertson,f,207,495-1496,milbridge,me,4658,s,y,75000,8.5,2850,0,2850
752,pierto,yahalom,m,202,868-7188,washington,cd,20424,m,y,70000,9.0,0,2740,1370
754,parosh,takaki,m,781,792-2993,south egremont,ma,1258,m,n,95000,5.3,0,7150,0
755,thyagarajan,ingalls,f,802,725-5842,south burlington,vt,5403,s,y,30000,3.6019894999999997,3300,0,3300
760,fortune,rowan,f,973,994-5612,glen gardner,nj,8826,s,y,5000,1.4,1000,0,1500
768,soheil,aluja,f,939,903-6883,quebradillas,pr,678,m,n,15000,0.0,0,0,0
769,namhee,kompanek,m,860,325-4565,east windsor,ct,6088,s,y,35000,5.0,12750,0,0
771,alois,debuse,m,302,417-7268,dover,de,19904,m,y,60000,5.95,0,220,110
778,leland,protzen,m,207,911-1427,georgetown,me,4548,s,n,70000,8.5,2850,0,0
782,juhana,skeel,f,603,754-8486,berlin,nh,3570,m,n,20000,0.0,0,0,0
784,bent,wooldridge,m,302,423-4076,kenton,de,19955,m,y,95000,5.95,0,220,110
785,sixto,woof,m,315,866-1037,syracuse,ny,13219,s,n,25000,4.0984755,0,0,0
791,maroin,knightly,f,202,868-7188,washington,cd,20307,s,n,60000,9.0,1370,0,0
792,alselm,raugh,f,860,534-7972,danbury,ct,6810,m,n,75000,5.0,0,24500,0
793,mayford,bhagavan,f,939,996-9079,san juan,pr,917,s,y,30000,0.0,0,0,0
803,ria,beshers,m,207,561-6616,north rbidgton,me,4057,m,n,40000,8.5,0,5700,0
805,dietrich,feinberg,f,802,403-5554,newfane,vt,5345,s,n,10000,3.6,3300,0,0
806,ala,ehrhart,m,802,142-8778,south strafford,vt,5070,m,y,60000,4.1988535,0,6600,3300
814,miriam,spira,m,240,551-8293,hollywood,md,20636,m,y,100000,4.75,0,4800,2400
817,tammy,hohberg,f,787,336-2031,aguadilla,pr,603,s,n,75000,0.0,0,0,0
825,jun''ichi,kurita,m,860,159-4658,baltic,ct,6330,s,n,75000,5.0,12750,0,0
827,berend,hodas,f,939,261-9512,san juan,pr,930,m,n,15000,0.0,0,0,0
828,ziyad,lanzl,m,802,943-6449,starksboro,vt,5487,s,n,25000,3.6,3300,0,0
835,willy,oates,m,413,145-2185,lakeville,ma,2347,m,y,60000,5.3,0,7150,1000
845,erik,seipel,f,215,826-9563,harrison city,pa,15636,s,y,75000,3.07,0,0,0
854,byunggyu,pillow,m,603,681-8832,wolfeboro falls,nh,3896,s,n,90000,0.0,0,0,0
855,dhritiman,cleve,m,207,142-8846,frenchville,me,4745,s,y,80000,8.5,2850,0,2850
860,sajid,deokar,f,203,283-5980,westport,ct,6889,m,y,25000,5.0,0,24500,0
865,nipun,cartier,m,202,868-7188,washington,dhc,20310,s,n,90000,9.0,1370,0,0
873,jine,rettelbach,m,207,815-3971,hallowell,me,4347,m,n,15000,6.9580293000000015,0,5700,0
875,soufiane,tryon,f,787,212-3685,juncos,pr,777,s,y,70000,0.0,0,0,0
881,glauco,belanche,m,508,791-9297,green harbor,ma,2041,m,y,100000,5.3,0,7150,1000
888,elvira,skandalis,f,908,482-6893,highland park,nj,8904,m,y,40000,1.7154167000000002,0,2000,1500
893,uchang,marrakchi,f,202,868-7188,washington,cd,20060,s,y,80000,9.0,1370,0,1370
895,nageshwara,scheer,f,802,820-7826,saint albans,vt,5478,m,n,50000,3.9998987,0,6600,0
897,jamshed,sureshchandran,m,207,700-9232,georgetown,me,4548,s,y,70000,8.5,2850,0,2850
898,carl,iciki,m,302,683-2159,laurel,de,19956,s,n,90000,5.95,110,0,0
912,moredachi,bergen,f,814,640-1051,indiana,pa,15705,m,n,75000,3.07,0,0,0
918,erdogan,shepherdson,f,857,384-5820,marstons mills,ma,2648,m,y,100000,5.3,0,7150,1000
922,madanpal,michailidis,m,802,420-9056,waitsfield,tv,5673,m,n,95000,4.8951945,0,6600,0
923,alfredo,timkovsky,f,207,610-5335,farmington,me,4938,m,n,30000,8.5,0,5700,0
932,begona,giunchiglia,m,802,993-8577,pownal,vt,5261,s,y,40000,3.8009440000000003,3300,0,3300
941,paul,ying,m,939,493-8231,ponce,pr,730,s,y,60000,0.0,0,0,0
944,jaehyung,d''amiano,m,609,309-3633,sayreville,nj,8872,s,n,10000,1.4,1000,0,0
946,gherin,raja,m,413,925-1387,worcester,ma,1653,m,y,95000,5.3,0,7150,1000
948,kiichi,schild,m,603,913-7860,north stratford,nh,3590,s,n,70000,0.0,0,0,0
951,mybrid,biryukov,f,339,793-3760,boylston,ma,1505,s,n,20000,5.3,3575,0,0
953,zeenat,raje,f,212,387-3140,ithaca,ny,14850,m,y,50000,4.243293,0,0,1000
954,lei,bein,f,401,649-9045,providence,ri,2909,m,y,35000,0.0,0,0,0
965,kanwar,pinnu,f,302,624-7492,wilmington,de,19880,s,y,90000,5.95,110,0,110
970,tinku,minemura,m,917,359-2282,bronx,ny,10472,s,n,60000,4.3012195,0,0,0
971,qin,piens,f,401,109-5996,warwick,ri,2887,m,n,55000,0.0,0,0,0
972,brig,obtulowicz,f,939,291-3171,san juan,pr,902,m,n,45000,0.0,0,0,0
977,thang,sever,m,617,134-5111,lynn,ma,1910,m,y,45000,5.3,0,7150,1000
982,iwaro,cromarty,m,202,868-7188,washington,cd,20427,m,y,5000,4.5,0,2740,1370
984,jusung,muchinsky,m,410,463-7253,cumberland,md,21503,m,n,15000,4.75,0,4800,0
989,mirta,batliner,m,202,868-7188,washington,c,20538,m,n,90000,9.0,0,2740,0
993,naohisa,reisfelder,m,302,903-2073,kenton,de,19955,s,y,60000,5.95,110,0,110
994,vimal,mattison,f,207,121-5001,sebago lake,me,4075,m,y,60000,8.5,0,5700,2850
1003,syunichiro,uckan,m,860,206-8121,madison,ct,6443,m,y,5000,3.0,0,24500,0
1004,kok,baz,f,401,884-3361,providence,ri,2918,s,y,25000,0.0,0,0,0
1022,tuong,hancart,m,401,786-4546,baltimore,ri,2802,s,n,65000,0.0,0,0,0
1027,katsuhiko,geurts,f,860,531-5881,fabyan,ct,6245,m,n,5000,3.0,0,24500,0
1039,perla,tofte,m,603,309-8255,bristol,nh,3222,m,y,85000,0.0,0,0,0
1040,kishore,barnhill,f,603,369-8859,bristol,nh,3222,m,y,30000,0.0,0,0,0
1045,nipun,palaniappan,m,939,288-7408,ponce,pr,731,s,n,20000,0.0,0,0,0
1046,ora,nozawa,f,607,112-4517,bayville,ny,11709,s,n,60000,4.3012195,0,0,0
1047,rafic,nonn,f,302,733-7103,yorklyn,de,19736,m,y,5000,2.2,0,202,110
1049,marcelino,coover,f,917,596-6526,barton,ny,13734,m,y,50000,4.243293,0,0,1000
1050,phillippe,tano,m,603,112-5367,concord,nh,3301,m,y,5000,0.0,0,0,0
1051,chenghui,pino,f,201,127-1470,annandale,nj,8801,m,n,70000,2.1885417,0,2000,0
1054,cordelia,haraldsson,m,603,716-5653,greenland,nh,3840,m,y,65000,0.0,0,0,0
1059,kensaku,streinu,m,202,801-2224,washington,cd,20210,m,n,45000,9.0,0,2740,0
1060,foong,marefat,m,787,552-5728,humacao,pr,791,s,y,35000,0.0,0,0,0
1062,joford,formella,f,860,891-1619,cobalt,ct,6414,m,y,25000,5.0,0,24500,0
1064,gady,melcarne,m,401,730-5965,wakefield,ri,2880,m,n,50000,0.0,0,0,0
1065,xiaobin,holtman,f,443,760-3408,baltimore,md,21212,m,y,75000,4.75,0,4800,2400
1068,muruganandan,mcguffin,m,908,862-3143,little ferry,nj,7643,s,y,80000,2.34625,1000,0,1500
1069,alexa,theimer,m,804,556-2056,lincoln,va,20160,s,y,65000,5.75,900,0,900
1070,nagui,milicia,m,401,515-4778,north kingstown,ri,2852,m,n,40000,0.0,0,0,0
1071,brij,schrock,f,351,145-7396,easthampton,ma,1027,s,n,100000,5.3,3575,0,0
1072,tremaine,pettorossi,f,401,651-7547,north smithfield,ri,2896,s,y,95000,0.0,0,0,0
1074,nageshwara,nagaya,f,302,605-6252,millville,de,19967,m,n,40000,4.586364,0,220,0
1075,uri,heydon,m,410,406-3932,baltimore,md,21287,m,n,10000,4.75,0,4800,0
1080,bijendra,theis,f,207,117-2454,gouldsboro,me,4607,m,y,45000,8.5,0,5700,2850
1084,ran,maccari,f,603,123-8851,nashua,nh,3060,m,y,95000,0.0,0,0,0
1086,saverio,rauch,f,516,671-5372,south new berlin,ny,13843,s,n,70000,4.359146,0,0,0
1094,chuanyi,hotzel,f,267,257-2840,morann,pa,16663,m,y,35000,3.07,0,0,0
1099,masato,sitter,f,802,559-8297,burlington,vt,5408,m,n,25000,3.6,0,6600,0
1100,jianqiang,twardowski,f,787,433-8689,san sebastian,pr,685,s,n,90000,0.0,0,0,0
1102,bodhisattwa,gradenigo,f,267,104-8100,west point,pa,19486,m,n,5000,3.07,0,0,0
1103,augusto,haraldsson,m,203,554-9904,hartford,ct,6150,s,y,5000,3.0,12750,0,0
1105,richards,witteveen,m,207,717-6085,winter harbor,me,4693,s,y,85000,8.5,2850,0,2850
1106,sachar,woll,f,207,557-8065,jonesboro,me,4648,s,n,95000,8.5,2850,0,0
1110,rudi,viire,f,302,318-5695,newark,de,19726,s,y,30000,3.9045453,110,0,110
