id,fname,lname,gender,iphone,areacode,zip,state,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
147,Kuniaki,Holmback,F,293-2288,989,48193,MI,M,Y,70000,3.9,0,6200,3100
148,Kwan,Jarzabek,F,691-3863,989,49127,MI,M,N,75000,3.9,0,6200,0
149,Kyungwol,Baru,F,463-6974,989,48037,MI,M,Y,20000,3.9,0,6200,3100
150,Lan,Bertelrud,F,332-8385,989,48457,MI,S,N,80000,3.9,3100,0,0
151,Lashon,Ternovskaia,M,975-8359,989,49506,MI,M,Y,80000,3.9,0,6200,3100
152,Lech,Mikou,F,798-2159,989,49315,MI,S,Y,50000,3.9,3100,0,3100
153,Leszek,Narin''ani,M,866-6987,989,48092,MI,M,N,85000,3.9,0,6200,0
154,Luiz,Yanike,F,802-1187,989,49329,MI,M,N,45x000,3.9,0,6200,0
155,Maitham,Fawaz,F,739-9907,989,48441,MI,M,Y,3500v0,3.9,0,6200,3100
156,Margarita,Darroux,M,116-1896,989,48039,MI,S,Y,15000,3.9,3100,0,3100
157,Margot,Stieger,F,913-5454,989,48288,MI,M,N,65000,3.9,0,6200,0
158,Mariano,Treweke,M,650-8006,989,48636,MI,M,N,60000,3.9,0,6200,0
159,Marinette,Ruocco,M,600-5522,989,49733,MI,M,Y,95000,3.9,0,6200,3100
160,Maroin,Ohsie,F,182-7495,989,48054,MI,M,N,40000,3.9,0,6200,0
161,Marsaru,Brasileiro,M,390-6910,989,48138,MI,S,Y,100000,3.9,3100,0,3100
162,Marta,Kamkar,M,359-8280,989,49328,MI,S,Y,5000,3.9,3100,0,3100
163,Martien,Schoegge,M,729-1122,989,49791,MI,S,N,100000,3.9,3100,0,0
164,Masakatsu,Babb,M,238-5749,989,48030,MI,S,Y,60000,3.9,3100,0,3100
165,Masumi,Lowrie,M,552-2803,989,48633,MI,S,N,95000,3.9,3100,0,0
166,Matthhew,Bladen,M,964-8739,989,49410,MI,M,N,65d000,3.9,0,6200,0
167,Maureen,Darbha,M,275-1586,989,48081,MI,S,Y,85000,3.9,3100,0,3100
168,Mejar,Matzat,F,520-3911,989,48652,MI,M,N,10000,3.9,0,6200,0
169,Melanie,Addyman,F,295-3724,989,49079,MI,M,Y,95000,3.9,0,6200,3100
170,Melliyal,Schleiermacher,F,292-9619,989,48501,MI,S,N,90000,3.9,3100,0,0
171,Melville,Champarnaud,M,339-4192,989,48268,MI,M,Y,90000,3.9,0,6200,3100
172,Mic,Scholten,F,661-1691,989,49885,MI,M,Y,85000,3.9,0,6200,3100
173,Michinori,Thimm,M,337-1028,989,49922,MI,M,Y,75000,3.9,0,6200,3100
174,Mirit,Rijn,F,944-8012,989,48838,MI,S,Y,20000,3.9,3100,0,3100
175,Mitesh,Stalnaker,M,889-2163,989,48093,MI,S,N,20000,3.9,3100,0,0
176,Mitsuhide,Mauboussin,F,486-4750,989,49420,MI,M,N,45000,3.9,0,6200,0
177,M''Lissa,Baezner,M,236-9585,989,48622,MI,S,N,30000,3.9,3100,0,0
178,Monte,Braams,M,616-5620,989,48532,MI,S,N,35000,3.9,3100,0,0
179,Moty,Wiggers,M,188-4867,989,48278,MI,S,N,60000,3.9,3100,0,
180,Mutsunori,Isern,M,863-5183,989,48891,MI,M,N,10000,3.9,0,6200,0
181,Nabiha,Sandkuhl,F,236-9373,989,49088,MI,M,N,25000,3.9,0,6200,0
182,Narushige,White,F,122-5072,989,48062,MI,M,Y,50000,3.9,0,6200,3100
183,Natalya,Ackermann,F,502-8574,989,48635,MI,M,Y,20000,3.9,0,6200,3100
184,Nathalie,Kusakari,F,154-5415,989,49053,MI,S,N,95000,3.9,3100,0,0
185,Neila,Greibach,M,401-6245,989,48143,MI,S,Y,5000,3.9,3100,0,3100
186,Nevzat,Garrett,F,260-9751,989,48554,MI,***,Y,40000,3.9,3100,0,3100
187,Nicole,Veccia,F,964-8696,989,48891,MI,M,N,80000,3.9,0,6200,0
188,Nobuhiko,Littlehales,M,435-8039,989,49436,MI,M,Y,80000,3.9,0,6200,3100
189,Nobuyoshi,Waleschkowski,M,528-7870,989,49269,MI,iM,N,65000,3.9,0,6200,0
190,Omran,Barriere,M,419-2251,989,49781,MI,S,Y,60000,3.9,3100,0,3100
191,Onur,Elphick,M,762-9984,989,49302,MI,M,N,15000,3.9,0,6200,0
192,Oreste,Amorim,M,274-7863,989,48840,MI,S,N,85000,3.9,3100,0,0
193,Ori,Kadobayashi,F,479-7827,989,49550,MI,M,N,10000,3.9,0,6200,0
194,Orin,Adriani,M,594-3087,989,48228,MI,S,N,45000,3.9,3100,0,0
195,Osher,Komosinski,F,879-8252,989,49645,MI,M,Y,75000,3.9,0,6200,3100
196,Otmar,Loborg,M,176-6917,989,48875,MI,M,N,100000,3.9,0,6200,0
197,Paicheng,Akaboshi,F,448-9148,989,49460,MI,M,N,30000,3.9,0,6200,0
198,Paitoon,Leonidas,F,835-8488,989,49784,MI,S,N,10000,3.9,3100,0,0
199,Paloma,Alwar,F,140-2423,989,48613,MI,S,N,55000,3.9,3100,0,0
200,Papa,O''Cinneide,F,419-7051,989,48190,MI,M,Y,10000***,3.9,0,6200,3100
201,Partick,Kuiper,M,769-5525,989,48748,MI,S,Y,60000,39,3100,0,3100
202,Peeter,Carrillo,F,879-2209,989,48231,MI,M,N,20000,3.9,0,6200,0
203,Periklis,Schwarzler,F,880-6604,989,49502,MI,M,N,45000,3.9,0,6200,0
204,Phill,Ronkainen,M,927-3637,989,48724,MI,M,Y,85000,3.9,0,6200,3100
205,Phyllis,Gahlot,F,936-4936,989,48755,MI,M,Y,60000,3.9,0,6200,3100
206,Piergiulio,Bearman,M,342-1000,989,48088,MI,M,N,65000,3.9,0,6200,0
207,Prahlad,Ablaeyv,M,989-5257,989,48531,MI,S,Y,85000,3.9,3100,0,3100
208,Preben,Kmiec,F,344-6900,989,48278,MI,S,N,80000,3.9,3100,0,0
209,Rance,Perin,M,196-5671,989,49912,MI,S,Y,55000,3.9,3100,0,3100
210,Randeep,Spirn,M,834-1323,989,49779,MI,S,N,45000,3.9,3100,0,0
211,Ravi,Kopecky,F,626-2144,989,49003,MI,M,Y,15000,3.9,0,6200,3100
212,Ravindran,Woeginger,M,459-1491,989,48210,MI,S,Y,35000,3.9,3100,0,3100
213,Reuben,Foucaut,F,628-4433,989,48705,MI,M,Y,95000,3.9,0,6200,3100
214,Riccardo,Highnam,M,162-8303,989,48140,MI,S,Y,50000,3.9,3100,0,3100
215,Roa,Niittylahti,F,576-7410,989,48846,MI,M,N,85000,3.9,0,6200,0
216,Roelof,Tari,F,333-5891,989,49895,MI,S,N,60000,3.9,3100,0,0
217,Rohan,Wilf,F,609-9389,989,48026,MI,S,Y,90000,3.9,3100,0,3100
218,Rollins,Jesus,M,979-6668,989,48413,MI,M,N,70000,3.9,0,6200,0
219,Roy,Kruschinski,F,707-3509,989,48720,MI,S,N,55000,3.9,3100,0,0
220,Rudolph,Slysz,F,360-5749,989,49707,MI,M,N,90000,3.9,0,6200,0
221,Ryszard,Tschernko,F,210-5510,989,48641,MI,M,Y,70000,3.9,0,6200,3100
222,Sadahiro,Terkki,F,117-3350,989,49719,MI,S,N,90000,3.9,3100,0,0
223,Saman,Manderick,M,782-9522,989,48038,MI,M,N,85000,3.9,0,6200,0
224,Sandiway,Gellersen,F,895-2951,989,48622,MI,M,Y,100000,3.9,0,6200,3100
225,Satyandra,Bressoud,F,604-9896,989,48609,MI,M,Y,95000,3.9,0,6200,300
226,Saulo,Hlineny,M,705-5904,989,49788,MI,S,Y,55000,3.9,3100,0,3100
227,Schy,Duquenne,F,602-8816,989,49555,MI,M,Y,25000,3.9,0,6200,3100
228,Sergei,Callen,F,625-6990,989,49638,MI,S,Y,50000,3.9,3100,0,3100
229,Serif,Slyke,M,573-8578,989,49550,MI,S,N,90000,3.9,3100,0,0
230,Shaoying,Sawyers,F,773-4714,989,49253,MI,M,Y,80000,3.9,0,6200,3100
231,Share,Jolfaei,M,776-9996,989,49911,MI,M,Y,100000,3.9,0,6200,3100
232,Sheelagh,Utku,M,581-3538,989,48610,MI,M,Y,35000,3.9,0,6200,3100
233,Shih,Haase,F,640-9173,989,48470,MI,M,Y,55000,3.9,0,6200,3100
234,Shinichi,Conte,M,682-4447,989,48617,MI,M,Y,20000,3.9,0,6200,3100
235,Shin''ya,Eskilson,F,294-5294,989,48170,MI,S,N,90000,3.9,3100,0,0
236,Shoujie,Teitelbaum,F,526-3747,989,49788,MI,M,N,70000,3.9,0,6200,0
237,Shovonlal,L''Ecuyer,M,825-1304,989,49751,MI,S,N,50000,3.9,3100,0,0
238,Shreesh,Kreutz,M,631-9634,989,49248,MI,S,Y,35000,3.9,3100,0,3100
239,Sidi,Raufmann,F,920-3530,989,48255,MI,S,Y,90000,3.9,3100,0,3100
240,Silviu,Remy,F,527-2695,989,49806,AR,S,N,45000,3.9,3100,0,0
241,Sitki,Carrico,M,787-5770,989,48466,MI,S,N,65000,3.9,3100,0,0
242,Skip,Oppliger,M,966-7384,989,48224,MI,S,N,75000,3.9,3100,0,0
243,Sourabh,Dix,M,669-9955,989,49274,MI,S,N,55000,3.9,3100,0,0
244,Stergios,Keeffe,M,361-7872,989,49099,MI,S,N,95000,3.9,3100,0,0
245,Subhrajyoti,Farsi,M,633-8589,989,49301,MI,S,N,70000,3.9,3100,0,0
246,Sugato,Wodd,F,689-9567,989,48913,MI,M,N,100000,3.9,0,6200,0
247,Susan,Verhoosel,F,555-6254,989,49876,MI,S,nY,80000,3.9,3100,0,3100
248,Swen,Boggs,F,717-5920,989,48146,MI,M,Y,30000,3.9,0,6200,3100
249,Szabolcs,Bommel,M,567-6892,989,49831,MI,M,Y,5000,3.9,0,6200,3100
250,Tadaaki,Ovrutcki,M,710-7237,989,48471,MI,M,N,50000,3.9,0,6200,0
251,Taghi,Palfreyman,F,708-9111,989,48658,AR,S,N,30000,3.9,3100,0,0
252,Taokuan,Button,F,384-2791,989,49710,MI,M,Y,85000,3.9,0,6200,3100
253,Teruyuki,Ayani,F,976-8807,989,48739,MI,S,Y,95000,3.9,3100,0,3100
254,Tetsuzo,Neuburg,M,644-6291,989,49001,MI,S,N,15000,3.9,3100,0,0
255,Tibor,Gautschi,M,481-3204,989,49728,MI,S,N,55000,3.9,3100,0,0
256,Titia,Haugan,F,441-1846,989,48219,MI,M,N,90000,3.9,0,6200,0
257,Tomomi,Wichert,F,832-9295,989,48878,MI,M,Y,10000,3.9,0,6200,3100
258,Toyohiko,Morrell,F,876-6726,989,48470,MI,M,Y,95000,3.9,0,6200,3100
259,Udaiprakash,Mallela,M,759-1317,989,49083,MI,S,Y,60000,3.9,3100,0,3100
260,Uriel,Amorim,F,494-5874,989,48314,MI,M,Y,100000,3.9,,6200,3100
261,Usha,Crotty,F,495-5740,989,48363,MI,S,Y,10000,3.9,3100,0,3100
262,Vale,Sauder,,977-7120,989,49461,MI,S,Y,5000,3.9,3100,0,3100
263,Valentina,Trevillyan,M,600-8780,989,48667,MI,M,Y,95000,3.9,0,6200,3100
264,Vasudevan,Woll,M,120-4475,989,48164,MI,M,N,20000,3.9,0,6200,0
265,Veikko,Widmer,F,609-8214,989,48825,MI,M,Y,35000,3.9,0,6200,3100
266,Vijayalakshmi,Dingel,F,956-1302,989,49765,MI,M,Y,20000***,3.9,0,6200,3100
267,Vinoo,Gorz,M,231-4732,989,48413,MI,M,N,85000,3.9,0,6200,0
268,Vinot,Dehene,F,211-8637,989,48079,MI,M,Y,90000,3.9,0,6200,3100
269,Vladislav,Albicki,M,768-5496,989,48707,MI,M,Y,55000,3.9,0,6200,3100
270,Wenhong,Bebjak,M,183-1911,989,48007,MI,M,Y,70000,3.9,0,6200,3100
271,Wenwey,Hofting,F,590-9700,989,49863,MI,M,N,15000,3.9,0,6200,0
272,Willy,Braams,M,527-9922,989,48825,MI,S,N,35000,3.9,3100,0,0
273,Wire,Lowen,M,388-5549,989,48654,MI,M,Y,50000,3.9,0,6200,3100
274,Wuu,Edagawa,M,523-7327,989,49117,MI,S,N,100000,3.9,3100,0,0
275,Xiangmin,Hochgesang,M,312-1394,989,48131,MI,S,N,10000,3.9,3100,0,0
276,Xiaoheng,Klimov,M,890-7891,989,48859,MI,S,N,95000,3.9,3100,0,0
277,Xiaohui,Warkentin,F,301-5325,989,48265,MI,M,Y,45000,3.9,0,6200,3100
278,Xiaomei,Kaur,M,816-9856,989,49309,MI,M,Y,85000,3.9,0,6200,3100
279,Yabo,Hadar,M,598-3391,989,49464,MI,S,N,80000,3.9,3100,0,0
280,Yadran,Chatterji,F,406-5158,989,48466,MI,S,N,5000,3.9,3100,0,***
281,Yeona,Thoben,F,185-4230,989,49964,MI,M,N,80000,3.9,0,6200,0
282,Yew,Hiyoshi,M,575-9724,989,49651,MI,M,Y,85000,3.9,0,6200,3100
283,Yexuan,Bromley,F,186-4371,989,49864,AR,S,N,10000,3.9,3100,0,0
284,Yike,Mosedale,F,447-4847,989,49230,MI,M,Y,70000,0.9,0,6200,3100
285,Yogendra,Bousson,F,,989,49436,NV,M,Y,30000,3.9,0,6200,3100
286,Yoneo,Postma,F,695-6542,989,49052,MI,S,Y,35000,3.9,3100,0,3100
287,Yongwha,Bratten,F,409-4753,989,49840,MI,M,N,90000,3.9,0,6200,0
288,Yoo,Yurek,F,896-5988,989,49503,MI,,Y,55000,3.9,0,6200,3100
289,Yorick,Dani,F,348-9177,989,49654,MI,M,N,65000,3.9,0,6200,0
290,Younghwan,Vassalos,,605-3009,989,49058,MI,S,N,55000,3.9,3100,0,0
291,Yuejun,Srimani,F,850-6031,989,49786,MI,M,N,35000,3.9,0,6200,0
292,Yukoo,Plesums,F,422-5103,989,48504,MI,S,N,50000,3.9,3100,0,0
293,Yumi,Ciardo,F,613-5021,989,49878,MI,S,N,35000,3.9,3100,0,0
294,Yunyao,Synnes,F,904-6988,989,48208,MI,M,N,50000,3.9,0,6200,0
295,Yurij,Kayser,M,595-1606,989,48641,MI,S,Y,90000,3.9,3100,0,3100
