index,tno,fname,lname,gender,areacode,phone,city,state,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp
29,96,Jaihie,Cau,F,302,446-6343,DAGSBORO,DE,19939,M,Y,10000,2.540909,0,220,110
30,97,Juanita,Sivarajan,F,603,966-6735,GRAFTON,NH,3240,S,Y,30000,0.0,0,0,0
31,100,Uinam,Hekken,F,339,769-6182,BELMONT,MA,2478,M,Y,35000,5.3,0,7150,1000
32,102,Baoquan,Guha,F,339,730-7750,EAST WALPOLE,MA,2032,S,Y,40000,5.3,3575,0,1000
33,114,Refael,Hasida,F,939,677-3999,LUQUILLO,PR,773,S,Y,30000,0.0,0,0,0
34,116,Giuseppe,Daigle,M,603,900-7725,MANCHESTER,NH,3104,M,Y,70000,0.0,0,0,0
35,120,Kayo,Haralick,F,339,730-9081,DORCHESTER,MA,2125,M,Y,40000,5.3,0,7150,1000
36,125,Teruji,Dey,F,202,989-1133,WASHINGTON,DC,20431,M,N,10000,4.5,0,2740,0
37,135,Chinho,Demmer,F,860,584-9932,EAST HAMPTON,CT,6424,M,N,30000,5.0,0,24500,***
38,138,Mitsuhisa,Papadimitriou,F,207,410-8062,GOULDSBORO,empty,4607,S,Y,60000,8.5,2850,0,2850
39,140,Pranava,Siochi,M,540,851-6497,GAINESVILLE,VA,20156,M,N,60000,5.75,0,1800,0
40,143,Souichi,Wadey,F,802,519-2066,STOWE,VT,5672,S,N,45000,3.9004214,3300,0,0
41,145,Jean,Tsujishita,F,202,132-8926,WASHINGTON,DC,20424,S,Y,10000,4.5,370,empty,1370
42,153,John,Sherratt,M,978,184-9558,OCEAN BLUFF,MA,2065,S,N,60000,5.3,3575,0,0
43,157,Bir,Byron,F,315,750-4795,BEAVER FALLS,NY,13305,M,Y,30000,4.127439,0,0,1000
44,160,Prabhudev,Kodama,F,802,216-5879,ASCUTNEY,VT,5030,M,Y,70000,4.397808,0,6600,3300
45,162,Taylor,Sanada,F,787,500-5910,empty,PR,676,M,Y,85000,0.0,0,0,0
46,171,Daphne,Belkhatir,F,202,188-9789,WASHINGTON NAVY YARD,DC,20398,S,Y,25000,7.875,1370,0,1370
47,175,Thao,Noriega,M,631,978-2969,empty,NY,10702,S,N,40000,4.1853657,0,0,0
48,178,Long,Comparot,F,814,984-2470,ARCOLA,PA,19420,M,Y,95000,3.07,j0,0,0
49,183,Manrique,Fayolle,F,302,938-1929,VIOLA,DE,19979,M,Y,60000,5.95,0,220,110
50,188,Monty,Muchnick,M,302,573-6497,DELMAR,DE,19940,M,N,5000,2.2,0,220,0
51,191,Rondall,Treweek,F,603,108-9496,NORTH STRATFORD,NH,3590,M,Y,10000,0.0,0,0,0
52,199,Joop,Bashkow,M,301,101-4374,BLADENSBURG,MD,20710,S,Y,100000,4.75,2400,0,2400
53,202,Yunming,Litant,F,802,262-8257,GLOVER,VT,5839,S,N,60000,4.1988535,3300,0,0
54,206,Suzan,Duclos,F,401,664-5371,PAWTUCKET,RI,2861,S,Y,90000,0.0,0,0,0
55,215,Mohammed,Rathi,M,202,781-8242,WASHINGTON,C,20013,S,Y,95000,9.0,1370,0,1370
56,220,Anthong,Huuskonen,M,939,661-2631,LUQUILLO,PR,773,S,N,15000,0.0,0,0,0
57,222,Ashwini,Schnoebelen,F,301,389-5635,TAKOMA PARK,MD,20913,M,N,100000,4.75,0,4800,0
58,223,Djamila,Crepeau,F,603,740-3671,EAST KINGSTON,NH,3827,M,Y,60000,0.0,0,0,0
59,233,Shiafun,Cappelli,M,443,240-3353,GALENA,MD,21635,S,N,20000,4.75,2400,0,0
60,243,Sonoko,Dam,F,939,206-1159,CABO ROJO,empty,623,S,N,45000,0.0,0,empty,0
61,247,Mandy,Sidou,M,267,606-1367,HESSTON,PA,16647,M,Y,100000,3.07,0,0,0
62,253,Isdor,Fosse,F,202,950-4713,WASHINGTON,CD,20472,S,N,35000,9.0,1370,0,0
63,255,Varsha,Ernst,M,484,993-6874,ASHFIELD,empty,18212,S,Y,25000,3.07,0,0,0
64,260,Wafa,Shumilov,F,202,655-6005,WASHINGTON,CD,20425,S,N,30000,9.0,1370,0,0
65,261,Tricia,Cosica,F,207,356-5611,SHAWMUT,ME,4975,M,Y,50000,8.5,0,5700,2850
66,269,Lunjiang,Hanchek,F,802,278-9141,GRAND ISLE,VT,5458,M,N,40000,3.800944,0,6600,0
67,272,Vaughan,Hanatani,F,878,638-2204,PITTSBURGH,PA,15215,M,Y,85000,3.07,empty,0,0
68,278,Till,Kotani,F,207,240-8137,EAST BOOTHBAY,ME,4544,S,Y,5000,2.2135036,2850,0,2850
69,279,Imari,Kleinjohann,F,401,143-3552,CUMBERLAND,RI,2864,S,Y,30000,0.0,0,0,0
70,281,Bilhanan,Sione,F,774,767-4605,NEEDHAM HEIGHTS,MA,2494,M,N,15000,5.3,0,7150,0
71,284,Lizy,Suorsa,F,717,743-1281,SCRANTON,PA,18505,M,N,75000,3.07,0,0,0
72,285,Ioanis,Lupu,F,724,116-3246,BENEZETT,PA,15821,M,N,45000,3.07,0,0,0
73,286,Grigoris,Gentile,F,603,961-8799,NASHUA,NH,3060,M,N,45000,0.0,0,0,0
74,288,Rinie,Jonckers,M,401,910-7985,JOHNSTON,RI,2919,M,Y,35000,0.0,0,0,0
75,289,Jovanna,Fosse,F,202,411-7553,WASHINGTON,CD,20208,M,Y,75000,9.0,0,2740,1370
76,292,Firoz,Heydon,M,443,375-8726,DRAYDEN,MD,20630,M,Y,30000,4.75,0,4800,2400
77,293,Xiannong,Pinzani,M,339,361-4214,SOUTH DARTMOUTH,MA,2748,S,N,30000,5.3,3575,0,0
78,294,Gady,Deacon,M,203,823-1927,HARTFORD,T,6102,M,Y,45000,5.0,0,24500,0
79,296,Humphrey,Ramamoorthy,F,401,466-2957,CLAYVILLE,RI,2815,M,N,90000,0.0,0,0,0
80,297,Sethu,Haasis,M,802,330-7388,LONDONDERRY,VT,5148,S,Y,85000,4.69624,3300,empty,3300
81,301,Guenter,Sigal,M,401,707-8008,PROVIDENCE,RI,2908,S,N,10000,0.0,0,empty,0
82,302,Gunnvald,Lieflander,M,917,747-7431,AMITYVILLE,NY,11701,S,N,65000,4.330183,0,0,0
83,308,Ljiljana,Smeets,F,508,693-9220,AGAWAM,MA,1001,M,Y,45000,5.3,0,7150,1000
84,312,Rein,Sakagami,bM,302,675-7612,YORKLYN,DE,19736,M,N,100000,5.95,empty,220,0
85,322,Manoli,Umaschi,M,302,556-6474,WILMINGTON,DE,19898,S,Y,20000,3.2227273,110,empty,110
86,329,Martyne,Naggar,F,724,821-3010,PARKER FORD,PA,19457,M,N,35000,3.07,0,0,0
87,334,Alin,Mandell,M,410,552-8074,BALTIMORE,MD,21280,M,Y,75000,4.75,0,4800,2400
88,336,Shabbir,Dharanipragada,M,908,696-4412,BRANCHVILLE,NJ,7890,S,Y,95000,2.5828125,1000,0,1500
89,341,Yanbing,Gecsei,M,570,288-8387,BRUSH VALLEY,PA,15720,S,N,50000,3.07,0,0,0
90,346,Nick,Gelosh,M,207,257-6382,SALSBURY COVE,ME,4672,S,Y,35000,8.5,2850,0,2850
91,347,Ran,Sabelli,F,860,110-1437,GREENWICH,CT,6830,S,N,80000,5.0,12750,c0,0
92,353,Nitsan,Ertl,M,351,912-9267,WEST WARREN,MA,1092,S,Y,75000,5.3,3575,0,1000
93,356,Brennan,Wongsaroje,F,202,633-6149,WASHINGTON,DC,20203,M,N,60000,9.0,0,2740,0
94,357,Ludwik,Hamburg,M,978,529-7308,ASHFIELD,MA,1330,M,Y,5000,5.3,0,7150,1000
95,359,Ward,Cicchetti,F,603,219-3160,MARLOW,NH,3456,M,Y,15000,0.0,q0,0,0
96,367,Tooru,Miara,M,603,846-2406,GLENCLIFF,NH,3238,S,N,30000,0.0,0,0,0
97,369,Herwig,Massalin,M,302,240-3897,WILMINGTON,DE,19890,M,N,60000,5.95,0,220,0
98,373,Lein,Ang,F,857,188-6322,HOLYOKE,MA,1041,S,Y,90000,5.3,3575,0,1000
99,374,Deene,Clark,F,215,800-6906,PHILADELPHIA,PA,19139,S,Y,30000,3.07,0,0,0
100,386,Fernand,Panagopoulou,F,508,205-7989,CHICOPEE,MA,1013,M,Y,90000,5.3,0,7150,1000
101,398,Naeem,Radzik,F,610,770-8043,MCKESPORT,PA,15132,M,Y,85000,3.07,0,0,0
102,399,Yongdong,Nagase,empty,908,328-4760,NEWPORT,NJ,8345,S,N,65000,2.1096876,1000,0,0
103,400,Henk,Klawonn,M,410,268-6712,SILVER SPRING,MD,20916,S,N,70000,4.75,2400,0,0
104,401,Antony,Monderer,M,802,854-5962,NORTH FERRISBURGH,VT,5473,S,N,65000,4.298331,3300,0,0
105,410,Mohd,Lavie,M,207,720-6245,EAGLE LAKE,ME,4739,S,Y,85000,8.5,empty,0,2850
106,415,Fazli,Kowalchuk,F,302,882-6872,TOWNSEND,DE,19734,M,Y,75000,5.95,0,220,110
107,421,Avadis,Dattasharma,M,508,449-5112,ACCORD,MA,2018,S,Y,85000,5.3,3575,0,1000
108,422,Couto,XueDong,M,207,505-5650,NORTH ANSON,ME,4958,S,Y,60000,8.5,2850,0,2850
109,425,Woei,Gurzi,M,302,272-4994,WILMINGTON,DE,19801,M,Y,5000,2.2,0,220,110
110,430,Toshifumi,Leguy,F,939,334-4361,CANOVANAS,zPR,729,M,Y,45000,0.0,0,0,0
111,432,Houssem,Sewry,M,401,266-7110,HARRISVILLE,RI,2830,S,N,55000,0.0,0,0,0
112,433,Saydean,Banare,M,508,137-3292,EAST WEYMOUTH,MA,2189,S,Y,5000,5.3,3575,0,1000
113,434,Lora,Rosch,M,570,299-3852,CHAMBERSBURG,PA,17201,S,N,55000,3.07,0,0,0
114,439,Akmal,Jahnichen,F,603,303-2843,SALEM,NH,3079,M,Y,15000,0.0,0,0,0
115,441,Asat,Stevenson,M,202,196-4036,WASHINGTON,DC,20395,S,Y,65000,9.0,1370,0,1370
116,442,Frederic,Machiels,F,203,720-4264,STAFFORDVILLE,uCT,6077,M,Y,60000,5.0,0,24500,0
117,448,Joaquin,Renegar,M,860,520-9731,NORWICH,CT,6360,S,Y,70000,5.0,12750,0,0
118,450,Byeong,Hadfield,F,631,932-8771,NEW YORK,NY,10018,S,Y,45000,4.2143292,empty,0,1000
119,451,Olivera,Bian,M,860,519-2673,WEST HAVEN,CT,6516,M,Y,90000,5.0,0,24500,0
120,453,Chengdian,Falvo,F,212,344-6114,WOODSTOCK,NY,12498,S,N,50000,4.243293,0,0,0
121,454,Ira,Hajnal,M,631,420-5486,WESTBROOKVILLE,NY,12785,S,N,45000,4.2143292,0,0,0
122,463,Harald,Eichhorn,M,201,260-4653,NEW GRETNA,NJ,8224,M,N,25000,1.4788542,0,2000,0
123,466,Kellogg,Chander,F,202,207-7256,WASHINGTON,CD,20585,S,N,55000,9.0,1370,0,0
124,467,Ramaswamy,McCluskey,M,848,173-9544,NETCONG,NJ,7857,S,N,90000,2.5039582,1000,0,0
125,470,Kazuko,Leishman,F,724,540-8466,GORDONVnILLE,PA,17529,M,N,80000,3.07,empty,0,0
126,471,Viresh,Gierl,M,603,660-9974,HAMPTON,NH,3842,S,N,40000,0.0,0,0,0
127,478,Breck,MacLean,M,267,181-8055,CLARION,PA,16214,M,Y,80000,3.07,0,0,0
128,479,Xiaotao,Claire,F,718,774-1245,NEW HYDE ARK,Y,11043,M,Y,90000,4.475,empty,0,1000
129,480,Bowen,Rubinfield,F,607,621-9879,empty,NY,13494,S,N,65000,4.330183,0,0,0
130,484,Elvia,Bergen,F,860,436-2928,HARTFORD,CT,6114,S,N,90000,5.0,12750,0,0
131,486,Staphane,Spitz,F,774,393-2358,STOW,MA,1775,M,N,50000,5.3,0,7150,0
132,489,Farid,Guyer,M,302,632-2748,WILMINGTON,DE,19891,M,N,10000,2.540909,0,220,0
133,491,Krisda,Braschler,oF,973,704-3168,TRENTON,NJ,8604,M,Y,35000,1.6365625,0,2000,1500
134,495,Hongwei,Clo,M,413,475-1491,EAST FALMOUTH,MA,2536,M,Y,80000,5.3,0,7150,1000
135,497,Geraldo,Lazensky,M,207,269-7129,SOUTHWEST HARBOR,ME,4679,M,Y,60000,8.5,0,5700,2850
136,499,Giora,Macias,M,609,220-2344,HELMETTA,NJ,8828,S,N,45000,1.7942707999999998,1000,0,0
137,502,Paramsothy,Orgass,F,774,823-8510,MILL RIVER,MA,1244,M,Y,10000,5.3,0,7150,1000
138,504,Toshihiro,Gerla,oF,351,318-2767,BOSTON,MA,2284,S,Y,20000,5.3,3575,0,1000
139,509,Yuguang,Barthou,M,609,405-2933,BAYVILLE,NJ,8721,M,N,60000,2.0308332,0,2000,0
140,510,Mitch,Nuth,F,603,369-6445,HAVERHILL,NH,3765,S,Y,85000,0.0,0,0,0
141,518,Jacco,Lennartson,M,207,533-2237,FREEPORT,ME,4034,M,N,15000,6.9580293000000015,0,5700,0
142,531,Bryony,Haack,M,207,417-3289,OQUOSSOC,ME,4964,S,N,100000,8.5,2850,0,0
143,549,Gennaro,Trumbly,M,787,595-5613,COTO LAUREL,PR,780,S,Y,15000,0.0,0,0,0
144,561,Ernestine,Catto,M,518,882-6609,RED CREEK,NY,13143,S,N,70000,4.359146,0,0,0
145,567,Janette,Manabe,gF,203,287-2488,STAMFORD,lCT,6911,S,Y,45000,5.0,12750,0,0
146,568,Object,Sittig,M,302,270-1200,CHESWOLD,ED,19936,S,N,65000,5.95,10,0,0
147,572,Denis,Leitner,F,802,206-2485,EAST SAINT JOHNSBURY,VT,5838,M,N,95000,4.8951945,0,6600,0
148,576,Domine,Dolinsky,M,443,815-3646,RIDERWOOD,MD,21139,S,N,80000,4.75,2400,0,0
149,577,Mel,Kiesler,M,787,296-3383,BOQUERON,PR,622,S,Y,100000,0.0,0,empty,0
150,582,Zachary,Moudgil,F,302,597-5590,NEWARK,DE,19716,M,Y,85000,5.95,0,220,110
151,583,Cathryn,Melton,F,401,486-2392,ADAMSVILLE,empty,2801,M,Y,90000,0.0,0,0,0
152,586,Francoise,Rahmstorf,F,410,535-5957,empty,MD,20684,M,Y,85000,4.75,0,4800,2400
153,588,Lichun,Poursepanj,F,717,581-8000,JOHNSTOWN,PA,15909,S,N,90000,3.07,0,0,0
154,590,Helko,Vijaykrishnan,F,609,631-1900,MILMAY,NJ,8340,S,Y,55000,1.9519792,1000,0,1500
155,596,Siau,Toussaint,M,401,643-5396,PROVIDENCE,RI,2902,M,Y,10000,0.0,0,0,0
156,599,Soumitra,Wetprasit,F,207,176-1377,THOMASTON,ME,4861,M,N,70000,8.5,0,5700,0
157,605,Anant,Nagamachi,M,917,674-9698,BRONX,NY,10462,M,Y,5000,4.0,0,0,1000
158,606,Mendel,Lambe,F,603,211-6318,LANCASTER,NH,3584,S,Y,70000,0.0,0,0,0
159,614,Minghui,Kubota,M,508,612-5997,CHARLTON DEPOT,MA,1509,M,Y,80000,5.3,0,empty,1000
160,615,Wonjun,Reece,F,215,824-9790,ONO,AP,17077,S,Y,35000,3.07,0,0,0
161,616,Shao,Reece,M,508,565-6451,BOSTON,MA,2118,M,Y,5000,5.3,empty,7150,1000
162,619,Kermit,Niedderreiter,F,973,907-1720,PORT MONMOUTH,NJ,7758,S,Y,10000,1.4,1000,empty,1500
163,622,Ayakannu,Zyryanov,empty,410,750-3591,DUNDALK,MD,21222,S,N,60000,4.75,2400,0,0
164,624,Malee,Gold,M,603,289-7431,CONCORD,NH,3305,M,N,15000,0.0,0,0,0
165,625,Sylvian,Hinnebusch,M,939,925-8319,ADJUNTAS,PR,601,S,Y,45000,0.0,0,0,0
166,626,Loan,Gist,M,603,617-4373,PORTSMOUTH,NH,3801,S,N,65000,0.0,0,0,0
167,629,Mariemma,Chmielinska,M,585,631-6958,PURLING,NY,12470,S,N,45000,4.2143292,0,0,0
168,632,Gultekin,Khamsi,M,878,369-1063,TIOGA,PA,16946,S,N,45000,3.07,0,0,0
169,638,Georgij,Schwertel,M,202,608-8576,WASHINGTON,DC,20507,M,Y,10000,4.5,0,2740,1370
170,648,Christophe,Schuller,F,860,594-2013,SOUTH BRITAIN,CT,6487,S,N,60000,5.0,empty,0,0
171,649,Samudra,Ruthven,F,207,113-3380,HOWLAND,ME,4448,M,N,65000,8.5,0,5700,0
172,651,Ard,Lindmark,F,603,777-1001,RUMNEY,NH,3266,M,N,10000,0.0,0,0,0
173,653,Markku,Whitley,M,443,850-6499,BETHESDA,MD,20824,S,Y,75000,4.75,2400,0,2400
174,656,Micheline,Rubsam,F,203,382-9572,CANAAN,T,6018,M,Y,55000,5.0,0,24500,0
175,672,Bette,Szymczak,M,781,777-2635,BOSTON,MA,2114,S,Y,20000,5.3,3575,0,1000
176,674,Takaaki,Holager,F,301,204-3333,ROCKVILLE,MD,20852,S,N,95000,4.75,2400,0,0
177,679,Giancarlo,Weinreich,M,860,811-1281,ESSEX,CT,6426,S,N,15000,5.0,12750,0,0
178,680,Fanya,Wavrik,F,914,113-9007,HICKSVILLE,NY,11802,M,N,20000,4.0695124,0,0,0
179,681,Fosca,Kandlur,M,202,766-3360,WASHINGTmON,DqC,20023,M,Y,20000,6.75,0,empty,1370
180,684,Darwyn,Seegmuller,M,774,223-3659,NORTH ATTLEBORO,MA,2760,M,Y,95000,5.3,0,7150,1000
181,688,Farooq,Sekino,M,802,275-4925,GRAFTON,VT,5146,S,N,100000,4.994672,v3300,0,0
182,690,Ingar,Noakes,M,203,108-7125,WEST HARTFORD,yCT,6117,S,Y,60000,5.0,12750,0,0
183,692,Ingrid,Hagimont,M,207,696-4590,SEARSMONT,ME,4973,M,N,65000,8.5,0,5700,0
184,698,Murthy,Burgess,M,802,616-6409,NORTH HERO,VT,5474,S,N,20000,3.6,3300,0,0
185,713,Rain,Luef,F,301,708-4444,CHESAPEAKE BEACH,MD,20732,S,N,50000,4.75,2400,0,0
186,728,Annette,Perly,F,207,195-3777,BUSTINS ISLAND,ME,4013,S,N,10000,4.5857663,2850,0,0
187,738,Egil,Rajamony,M,203,595-2698,MOOSUP,T,6354,S,Y,90000,5.0,12750,0,0
188,739,Cathleen,Miczo,F,516,967-1601,NEW PALTZ,NY,12561,M,N,50000,4.243293,0,0,0
189,740,Les,Kermode,F,202,868-7188,WASHINGTON,DC,20201,M,Y,85000,9.0,0,2740,1370
190,746,Lenhart,Birch,M,413,257-5349,SANDWICH,MA,2563,S,N,50000,5.3,3575,0,0
191,747,Nathan,Nations,F,240,253-4529,CUMBERLAND,MD,21503,S,N,5000,4.75,2400,0,0
192,750,Subhodev,Robertson,F,207,495-1496,MILBRIDGE,ME,4658,S,Y,75000,8.5,2850,0,2850
193,752,Pierto,Yahalom,M,202,868-7188,empty,CD,20424,M,Y,70000,9.0,0,2740,1370
194,754,Parosh,Takaki,M,781,792-2993,SOUTH EGREMONT,MA,1258,M,N,95000,5.3,0,7150,empty
195,755,Thyagarajan,Ingalls,F,802,725-5842,SOUTH BURLINGTON,VT,5403,S,Y,30000,3.6019895,3300,0,3300
196,760,Fortune,Rowan,F,973,994-5612,GLEN GARDNER,NJ,8826,S,Y,5000,1.4,1000,0,1500
197,768,Soheil,Aluja,F,939,903-6883,QUEBRADILLAS,PR,678,M,N,15000,0.0,0,0,0
198,769,Namhee,Kompanek,M,860,325-4565,EAST WINDSOR,CT,6088,S,Y,35000,5.0,12750,0,0
199,771,Alois,Debuse,M,302,417-7268,DOVER,DE,19904,M,Y,60000,5.95,0,220,110
200,778,Leland,Protzen,M,207,911-1427,GEORGETOWN,ME,4548,S,N,70000,8.5,2850,0,0
201,782,Juhana,Skeel,F,603,754-8486,BERLIN,NH,3570,M,N,20000,0.0,0,0,0
202,784,Bent,Wooldridge,M,302,423-4076,KENTON,DE,19955,M,Y,95000,5.95,0,220,110
203,785,Sixto,Woof,M,315,866-1037,SYRACUSE,YN,13219,S,N,25000,4.0984755,0,empty,0
204,791,Maroin,Knightly,F,202,868-7188,WASHINGTON,CD,20307,S,N,60000,9.0,1370,0,0
205,792,Alselm,Raugh,F,860,534-7972,DANBURY,CT,6810,M,N,75000,5.0,0,24500,0
206,793,Mayford,Bhagavan,F,939,996-9079,SAN JUAN,PR,917,S,Y,30000,0.0,0,0,0
207,803,Ria,Beshers,M,207,561-6616,NORTH BRIDGTON,ME,4057,M,N,40000,8.5,0,5700,0
208,805,Dietrich,Feinberg,F,802,403-5554,NEWFANE,VT,5345,S,N,10000,3.6,3300,0,0
209,806,Ala,Ehrhart,M,802,142-8778,SOUTH STRAFFORD,empty,5070,M,Y,60000,4.1988535,0,6600,3300
210,814,Miriam,Spira,M,240,551-8293,HOLLYWOOD,MD,20636,M,Y,100000,4.75,0,4800,2400
211,817,Tammy,Hohberg,F,787,336-2031,AGUADILLA,PR,603,S,N,75000,0.0,0,0,0
212,825,Jun''ichi,Kurita,M,860,159-4658,BALTIC,CT,6330,S,N,75000,5.0,12750,0,0
213,827,Berend,Hodas,F,939,261-9512,SAN JUAN,PR,930,M,N,15000,0.0,0,0,0
214,828,Ziyad,Lanzl,M,802,943-6449,STARKSBORO,VT,5487,S,N,25000,3.6,3300,0,0
215,835,Willy,Oates,M,413,145-2185,LAKEVILLE,MA,2347,M,Y,60000,5.3,0,7150,1000
216,845,Erik,Seipel,F,215,826-9563,HARRISON CITY,PA,15636,S,Y,75000,3.07,0,0,0
217,854,Byunggyu,Pillow,M,603,681-8832,WOLFEBORO FALLS,NH,3896,S,N,90000,0.0,0,0,0
218,855,Dhritiman,Cleve,M,207,142-8846,FRENCHVILLE,ME,4745,S,Y,80000,8.5,2850,0,2850
219,860,Sajid,Deokar,F,203,283-5980,WESTPORT,TC,6889,M,Y,25000,5.0,0,24500,0
220,865,Nipun,Cartier,M,202,868-7188,WASHINGTON,C,20310,S,N,90000,9.0,1370,0,0
221,873,Jine,Rettelbach,M,207,815-3971,HALLOWELL,ME,4347,M,N,15000,6.9580293000000015,0,7500,0
222,875,Soufiane,Tryon,F,787,212-3685,JUNCOS,PR,777,S,Y,70000,0.0,0,empty,0
223,881,Glauco,Belanche,M,508,791-9297,GREEN HARBOR,MA,2041,M,Y,100000,5.3,0,7150,1000
224,888,Elvira,Skandalis,F,908,482-6893,HIGHLAND PARK,NJ,8904,M,Y,40000,1.7154167000000002,0,2000,1500
225,893,Uchang,Marrakchi,F,202,868-7188,WASHINGTON,DC,20060,S,Y,80000,9.0,1370,0,1370
226,895,Nageshwara,Scheer,F,802,820-7826,SAINT ALBANS,VT,5478,M,N,50000,3.9998987,0,6600,0
227,897,Jamshed,Sureshchandran,M,207,700-9232,GEORGETOWN,ME,4548,S,Y,70000,8.5,2850,0,2850
228,898,Carl,Iciki,M,302,683-2159,LAUREL,DE,19956,S,N,90000,5.95,110,0,0
229,912,Moredachi,Bergen,F,814,640-1051,INDIANA,PA,15705,M,N,75000,3.07,0,0,0
230,918,Erdogan,Shepherdson,F,857,384-5820,MARSTONS MILLS,MA,2648,M,Y,100000,5.3,0,7150,1000
231,922,Madanpal,Michailidis,M,802,420-9056,WAITSFIELD,empty,5673,M,N,95000,4.8951945,0,6600,0
232,923,Alfredo,Timkovsky,empty,207,610-5335,FARMINGTON,ME,4938,M,N,30000,8.5,0,5700,0
233,932,Begona,Giunchiglia,M,802,993-8577,POWNAL,VT,5261,S,Y,40000,3.800944,3030,0,3300
234,941,Paul,Ying,M,939,493-8231,PNOCE,PR,730,S,Y,60000,0.0,0,0,***
235,944,Jaehyung,D''Amiano,M,609,309-3633,SAYREVILLE,NJ,8872,S,N,10000,1.4,1000,0,0
236,946,Gherin,Raja,M,413,925-1387,WORCESTER,MA,1653,M,Y,95000,5.3,0,7150,1000
237,948,Kiichi,Schild,M,603,913-7860,NORTH STRATFORD,NH,3590,S,N,70000,0.0,0,0,0
238,951,Mybrid,Biryukov,F,339,793-3760,BOYLSTON,MA,1505,S,N,20000,5.3,3575,0,0
239,953,Zeenat,Raje,F,212,387-3140,ITHACA,NY,14850,M,Y,50000,4.243293,0,0,1000
240,954,Lei,Bein,F,401,649-9045,PROVIDENCE,RI,2909,M,Y,35000,0.0,0,0,0
241,965,Kanwar,Pinnu,F,302,624-7492,empty,DE,19880,S,Y,90000,5.95,110,0,110
242,970,Tinku,Minemura,M,917,359-2282,BRONX,NY,10472,S,N,60000,4.3012195,0,0,0
243,971,Qin,Piens,F,401,109-5996,WARWICK,RI,2887,M,N,55000,0.0,0,0,0
244,972,Brig,Obtulowicz,F,939,291-3171,SAN JUAN,PR,902,M,N,45000,0.0,0,0,0
